Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,01-Mar,PPA,CrsPA,PrgP,Matches
26,Antony,br BRA,"DF,MF",Manchester Utd,24-363,2000,1.6,35,43.1,81.2,430,69.4,28.1,31.9,88.2,5.63,8.75,64.3,0.63,0.63,100,0,0.06,0.13,-0.06,1.88,0.63,3.13,1.25,3.75,Matches
27,Julian Araujo,mx MEX,DF,Bournemouth,23-192,2001,3.9,33.6,42.6,78.9,589,194.6,15.4,17.2,89.6,15.6,18.2,85.9,2.31,5.64,40.9,0,0,0,0,0,3.85,0.26,0,3.59,Matches
28,Cameron Archer,eng ENG,FW,Southampton,23-215,2001,11.7,12.1,15,80.6,160.4,23.9,7.69,9.06,84.9,3.33,3.76,88.6,0.34,0.6,57.1,0,0.03,0.05,-0.03,0.17,0.43,0.51,0,0.94,Matches
29,Alphonse Areola,fr FRA,GK,West Ham,31-360,1993,13.1,29.5,40.6,72.6,796.5,558.6,6.41,6.41,100,13.8,14.6,94.8,9.08,19,47.8,0,0,0,0,0,0.53,0,0,0,Matches
30,Joe Aribo,ng NGA,MF,Southampton,28-215,1996,17.2,39.5,44.8,88.3,572.2,113.1,22.8,25,91.2,14.1,15.5,91,1.4,1.92,72.7,0,0.09,0.07,-0.09,0.81,2.33,0.17,0.06,3.43,Matches
31,Adam Armstrong,eng ENG,"FW,MF",Southampton,28-011,1997,13.9,16.6,20.7,80.2,238.8,32.1,9.93,11.4,87.3,5.83,6.83,85.3,0.43,0.94,46.2,0.14,0.09,0.04,0.06,0.65,0.72,0.58,0.14,1.51,Matches
32,Harrison Armstrong,eng ENG,MF,Everton,18-033,2007,0.5,14,30,46.7,298,30,6,8,75,4,10,40,4,8,50,0,0.2,0,-0.2,2,2,0,0,2,Matches
33,Kepa Arrizabalaga,es ESP,GK,Bournemouth,30-141,1994,18,23,31.9,72.1,658.6,465.4,2.89,3,96.3,12.2,12.5,97.8,7.83,16.1,48.6,0,0,0,0,0.06,0.22,0,0,0,Matches
34,Marco Asensio,es ESP,"MF,FW",Aston Villa,29-031,1996,1,41,50,82,519,143,25,27,92.6,13,15,86.7,0,3,0,0,0,0.1,0,1,3,3,1,7,Matches
35,Brandon Austin,eng ENG,GK,Tottenham,26-044,1999,1,22,32,68.8,526,386,7,7,100,9,9,100,6,16,37.5,0,0,0,0,0,0,0,0,0,Matches
36,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,27-193,1997,2.9,14.1,22.1,64.1,156.2,28.6,10,12.8,78.4,3.1,6.21,50,0,1.38,0,0,0.03,0.03,-0.03,0.69,0.69,0.69,0,1.72,Matches
37,Yasin Ayari,se SWE,MF,Brighton,21-138,2003,14.2,35.5,44.3,80.1,529.4,140.9,20.6,22.5,91.8,12.4,14.9,83,1.48,4.58,32.3,0,0.11,0.13,-0.11,1.48,1.97,0.85,0.07,3.31,Matches
38,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,33-163,1991,0.2,40,50,80,835,20,15,15,100,20,30,66.7,5,5,100,0,0,0,0,5,0,0,0,0,Matches
39,Jordan Ayew,gh GHA,"FW,MF",Leicester City,33-163,1991,13.8,20.9,29.1,71.8,302.6,58.9,11.5,13.6,85,7.46,10.2,73,0.94,2.75,34.2,0,0.05,0.08,-0.05,0.8,1.3,0.65,0.29,1.96,Matches
40,Benoit Badiashile,fr FRA,DF,Chelsea,23-332,2001,2.8,71.4,79.6,89.7,1305.4,398.2,27.5,30.4,90.6,36.8,38.9,94.5,6.43,8.57,75,0,0,0.04,0,0,7.5,0.36,0,5.71,Matches
41,Leon Bailey,jm JAM,"FW,MF",Aston Villa,27-196,1997,11.5,21.7,30.6,70.7,339,84.4,12,14.5,82.6,7.57,9.22,82.1,1.48,3.22,45.9,0.17,0.13,0.25,0.04,1.39,1.22,1.65,0.17,2.78,Matches
42,Carlos Baleba,cm CMR,MF,Brighton,21-049,2004,17.8,35.1,40.2,87.3,609,159.1,16.7,18.1,92.3,13.9,15.4,90.2,3.76,5.39,69.8,0.06,0.04,0.03,0.02,0.79,4.16,0.84,0.06,4.33,Matches
43,Ross Barkley,eng ENG,MF,Aston Villa,31-078,1993,6.2,51.1,59.2,86.4,800.3,186.3,26.5,30,88.2,21.6,23.4,92.4,2.1,2.9,72.2,0.16,0.1,0.06,0.06,1.29,4.68,0.97,0,5.16,Matches
44,Harvey Barnes,eng ENG,FW,Newcastle Utd,27-074,1997,8.7,25.4,32.5,78.1,358.7,116,16.6,19.2,86.2,7.82,10.9,71.6,0.8,1.38,58.3,0.11,0.28,0.32,-0.16,1.26,1.03,2.3,0.46,4.71,Matches
45,Calvin Bassey,ng NGA,DF,Fulham,25-052,1999,24,57.2,63.9,89.6,1004.5,349.1,24.8,26.2,94.8,27,28.6,94.3,4.42,7.25,60.9,0,0,0.01,0,0.08,4.17,0,0,3.17,Matches
46,Jan Bednarek,pl POL,DF,Southampton,28-315,1996,20.8,62.1,67.3,92.3,1086.2,366,24.4,25.6,95.3,33.2,35.3,94,3.94,5.14,76.6,0,0.02,0.04,-0.02,0.19,3.08,0,0,2.45,Matches
47,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-239,1998,11,23.1,28.5,80.9,366.6,73.1,12.9,14.4,89.9,7.91,9.45,83.7,1.82,2.73,66.7,0.27,0.16,0.13,0.11,1.36,2.09,0.73,0.27,2.18,Matches
