Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
25,Michail Antonio,jm JAM,FW,West Ham,34-330,1990,14,11,836,9.3,0.11,0.11,0.22,0.11,0,0,0.11,0,0.24,0.24,0.17,0.41,3.12,1.94,6.34,0.11,0.11,0.22,0.11,0.22,0.24,0.17,0.41,0.24,0.41,Matches
26,Antony,br BRA,"DF,MF",Manchester Utd,24-363,2000,8,0,141,1.6,0,0,0,0,0,0,0,0,0.63,0.63,0.06,0.69,3.13,3.75,4.38,0,0,0,0,0,0.65,0.08,0.73,0.65,0.73,Matches
27,Julian Araujo,mx MEX,DF,Bournemouth,23-192,2001,8,5,355,3.9,0,0,0,0,0,0,0.26,0,0,0,0,0,0.51,3.59,2.82,0,0,0,0,0,0,0,0,0,0,Matches
28,Cameron Archer,eng ENG,FW,Southampton,23-215,2001,22,10,1053,11.7,0.17,0,0.17,0.17,0,0.09,0,0,0.41,0.34,0.03,0.37,1.28,0.94,4.02,0.17,0,0.17,0.17,0.17,0.41,0.03,0.44,0.34,0.37,Matches
29,Alphonse Areola,fr FRA,GK,West Ham,31-360,1993,14,13,1180,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
30,Joe Aribo,ng NGA,MF,Southampton,28-215,1996,24,16,1549,17.2,0.17,0,0.17,0.17,0,0,0.06,0,0.15,0.15,0.09,0.23,1.8,3.43,3.26,0.17,0,0.17,0.17,0.17,0.15,0.09,0.23,0.15,0.23,Matches
31,Adam Armstrong,eng ENG,"FW,MF",Southampton,28-011,1997,20,15,1248,13.9,0.14,0.14,0.29,0.14,0,0.07,0.29,0,0.24,0.17,0.09,0.25,1.8,1.51,5.68,0.14,0.14,0.29,0.14,0.29,0.24,0.09,0.32,0.17,0.25,Matches
32,Harrison Armstrong,eng ENG,MF,Everton,18-033,2007,3,0,48,0.5,0,0,0,0,0,0,2,0,0.8,0.8,0.2,0.8,2,2,0,0,0,0,0,0,0.69,0.14,0.82,0.69,0.82,Matches
33,Kepa Arrizabalaga,es ESP,GK,Bournemouth,30-141,1994,18,18,1620,18,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
34,Marco Asensio,es ESP,"MF,FW",Aston Villa,29-031,1996,2,1,94,1,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,3,7,3,0,0,0,0,0,0.35,0.02,0.37,0.35,0.37,Matches
35,Brandon Austin,eng ENG,GK,Tottenham,26-044,1999,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
36,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,27-193,1997,19,2,257,2.9,0.34,0,0.34,0.34,0,0,0,0,0.69,0.69,0.03,0.72,1.72,1.72,4.48,0.35,0,0.35,0.35,0.35,0.7,0.04,0.74,0.7,0.74,Matches
37,Yasin Ayari,se SWE,MF,Brighton,21-138,2003,21,14,1274,14.2,0,0,0,0,0,0,0.21,0,0.1,0.1,0.11,0.2,1.41,3.31,3.59,0,0,0,0,0,0.1,0.1,0.21,0.1,0.21,Matches
38,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,33-163,1991,1,0,21,0.2,0,0,0,0,0,0,5,0,2.5,2.5,0,2.5,0,0,5,0,0,0,0,0,1.96,0.21,2.17,1.96,2.17,Matches
39,Jordan Ayew,gh GHA,"FW,MF",Leicester City,33-163,1991,22,14,1244,13.8,0.29,0,0.29,0.22,0.07,0.07,0.36,0,0.2,0.14,0.05,0.2,2.17,1.96,4.57,0.29,0,0.29,0.22,0.22,0.2,0.05,0.26,0.15,0.2,Matches
40,Benoit Badiashile,fr FRA,DF,Chelsea,23-332,2001,4,2,249,2.8,0,0,0,0,0,0,0,0,0,0,0,0,1.07,5.71,0.71,0,0,0,0,0,0,0,0,0,0,Matches
41,Leon Bailey,jm JAM,"FW,MF",Aston Villa,27-196,1997,20,13,1035,11.5,0.09,0.17,0.26,0.09,0,0,0.17,0,0.13,0.13,0.13,0.26,4.43,2.78,9.3,0.09,0.17,0.26,0.09,0.26,0.13,0.13,0.26,0.13,0.26,Matches
42,Carlos Baleba,cm CMR,MF,Brighton,21-049,2004,21,19,1603,17.8,0.11,0.06,0.17,0.11,0,0,0.39,0.06,0.07,0.07,0.04,0.11,1.57,4.33,0.96,0.11,0.06,0.17,0.11,0.17,0.08,0.04,0.11,0.08,0.11,Matches
43,Ross Barkley,eng ENG,MF,Aston Villa,31-078,1993,16,3,554,6.2,0.48,0.16,0.65,0.48,0,0,0.48,0,0.27,0.27,0.1,0.37,2.26,5.16,1.29,0.49,0.16,0.65,0.49,0.65,0.27,0.09,0.37,0.27,0.37,Matches
44,Harvey Barnes,eng ENG,FW,Newcastle Utd,27-074,1997,20,6,782,8.7,0.57,0.11,0.69,0.57,0,0,0,0,0.34,0.34,0.28,0.62,4.83,4.71,9.43,0.58,0.12,0.69,0.58,0.69,0.34,0.28,0.62,0.34,0.62,Matches
45,Calvin Bassey,ng NGA,DF,Fulham,25-052,1999,24,24,2160,24,0.04,0,0.04,0.04,0,0,0.21,0,0.04,0.04,0,0.05,0.79,3.17,0.46,0.04,0,0.04,0.04,0.04,0.04,0,0.04,0.04,0.04,Matches
46,Jan Bednarek,pl POL,DF,Southampton,28-315,1996,21,21,1872,20.8,0.1,0,0.1,0.1,0,0,0.24,0,0.03,0.03,0.02,0.05,0.19,2.45,0.05,0.1,0,0.1,0.1,0.1,0.03,0.02,0.05,0.03,0.05,Matches
47,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-239,1998,23,11,992,11,0.18,0.27,0.45,0.18,0,0,0.27,0,0.08,0.08,0.16,0.25,2.36,2.18,4.91,0.18,0.27,0.45,0.18,0.45,0.08,0.17,0.25,0.08,0.25,Matches
48,Rodrigo Bentancur,uy URU,MF,Tottenham,27-241,1997,15,12,945,10.5,0.19,0,0.19,0.19,0,0,0.48,0,0.08,0.08,0.04,0.11,1.43,6.19,1.33,0.19,0,0.19,0.19,0.19,0.08,0.04,0.12,0.08,0.12,Matches
49,Sander Berge,no NOR,MF,Fulham,27-007,1998,18,14,1317,14.6,0,0,0,0,0,0,0.14,0,0.01,0.01,0.04,0.05,0.96,4.73,0.07,0,0,0,0,0,0.01,0.04,0.05,0.01,0.05,Matches
50,Lucas Bergvall,se SWE,MF,Tottenham,19-019,2006,18,6,670,7.4,0,0,0,0,0,0,0.41,0,0.05,0.05,0.05,0.11,2.16,4.32,2.16,0,0,0,0,0,0.05,0.05,0.1,0.05,0.1,Matches
51,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,22-067,2002,22,22,1937,21.5,0,0.05,0.05,0,0,0,0.05,0,0.01,0.01,0.06,0.07,1.4,2.56,2.6,0,0.05,0.05,0,0.05,0.01,0.06,0.08,0.01,0.08,Matches
52,Beto,gw GNB,FW,Everton,27-021,1998,17,4,584,6.5,0.77,0,0.77,0.77,0,0,0.15,0,0.54,0.54,0.03,0.57,1.23,0.77,4.92,0.77,0,0.77,0.77,0.77,0.54,0.03,0.56,0.54,0.56,Matches
53,Philip Billing,dk DEN,MF,Bournemouth,28-255,1996,10,1,184,2,0,0,0,0,0,0,0.5,0,0.3,0.3,0.5,0.8,1.5,7.5,6.5,0,0,0,0,0,0.28,0.51,0.79,0.28,0.79,Matches
54,Yves Bissouma,ml MLI,MF,Tottenham,28-175,1996,19,12,1049,11.7,0.17,0,0.17,0.17,0,0,0.43,0,0.04,0.04,0.02,0.06,1.28,5.64,0.26,0.17,0,0.17,0.17,0.17,0.04,0.02,0.06,0.04,0.06,Matches
55,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,21-047,2004,6,4,354,3.9,0,0,0,0,0,0,0.51,0,0,0,0.03,0.05,2.56,2.82,2.05,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04,Matches
56,Willy Boly,ci CIV,DF,Nott'ham Forest,34-018,1991,5,1,134,1.5,0,0,0,0,0,0,0.67,0,0.07,0.07,0,0.07,0,1.33,0,0,0,0,0,0,0.05,0,0.05,0.05,0.05,Matches
57,Sven Botman,nl NED,DF,Newcastle Utd,25-040,2000,3,3,224,2.5,0,0,0,0,0,0,0.4,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
58,Jarrod Bowen,eng ENG,"FW,MF",West Ham,28-063,1996,21,21,1835,20.4,0.29,0.2,0.49,0.25,0.05,0.05,0.05,0,0.24,0.2,0.23,0.43,3.63,3.24,6.13,0.29,0.2,0.49,0.25,0.44,0.24,0.23,0.47,0.2,0.43,Matches
59,Conor Bradley,nir NIR,DF,Liverpool,21-227,2003,12,2,372,4.1,0,0,0,0,0,0,0.49,0,0.12,0.12,0,0.12,4.15,4.15,4.39,0,0,0,0,0,0.12,0,0.12,0.12,0.12,Matches
60,Jarrad Branthwaite,eng ENG,DF,Everton,22-239,2002,18,16,1448,16.1,0,0.06,0.06,0,0,0,0.19,0,0.03,0.03,0.04,0.07,0.37,2.42,0.06,0,0.06,0.06,0,0.06,0.03,0.03,0.07,0.03,0.07,Matches
61,James Bree,eng ENG,DF,Southampton,27-133,1997,12,9,755,8.4,0,0.12,0.12,0,0,0,0,0,0.01,0.01,0.11,0.12,1.07,3.1,3.69,0,0.12,0.12,0,0.12,0.01,0.11,0.12,0.01,0.12,Matches
62,Ben Brereton,cl CHI,FW,Southampton,25-309,1999,10,4,449,5,0,0,0,0,0,0,0.2,0,0.18,0.18,0.02,0.2,2.4,1.8,8.4,0,0,0,0,0,0.18,0.02,0.2,0.18,0.2,Matches
63,Nathan Broadhead,wls WAL,"FW,MF",Ipswich Town,26-322,1998,9,4,380,4.2,0,0,0,0,0,0,0.24,0,0.24,0.24,0.12,0.36,2.86,2.38,4.52,0,0,0,0,0,0.23,0.13,0.36,0.23,0.36,Matches
64,Armando Broja,al ALB,FW,Everton,23-164,2001,5,2,159,1.8,0,0,0,0,0,0,0.56,0,0.06,0.06,0.06,0.11,4.44,1.11,8.33,0,0,0,0,0,0.06,0.06,0.13,0.06,0.13,Matches
65,David Brooks,wls WAL,FW,Bournemouth,27-228,1997,18,7,638,7.1,0.28,0,0.28,0.28,0,0,0.42,0,0.23,0.23,0.23,0.45,3.1,1.97,8.59,0.28,0,0.28,0.28,0.28,0.23,0.22,0.46,0.23,0.46,Matches
66,Emi Buendia,ar ARG,"MF,FW",Aston Villa,28-058,1996,12,0,98,1.1,0,0,0,0,0,0,0.91,0,0.64,0.64,0,0.64,2.73,6.36,5.45,0,0,0,0,0,0.6,0.02,0.62,0.6,0.62,Matches
67,Santiago Bueno,uy URU,DF,Wolves,26-104,1998,18,15,1364,15.2,0,0,0,0,0,0,0,0,0.03,0.03,0,0.03,0.07,1.51,0.07,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
68,Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,20-060,2004,21,12,1152,12.8,0.31,0.16,0.47,0.31,0,0,0.47,0,0.26,0.26,0.22,0.48,2.58,3.2,4.22,0.31,0.16,0.47,0.31,0.47,0.26,0.22,0.48,0.26,0.48,Matches
