Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
106,Matheus Cunha,br BRA,"MF,FW",Wolves,25-270,1999,24,22,1965,21.8,0.55,0.18,0.73,0.55,0,0,0.14,0,0.26,0.26,0.29,0.55,4.04,4.82,5.78,0.55,0.18,0.73,0.55,0.73,0.26,0.29,0.55,0.26,0.55,Matches
107,Patson Daka,zm ZAM,"FW,MF",Leicester City,26-135,1998,13,1,313,3.5,0.29,0,0.29,0.29,0,0,0,0,0.14,0.14,0,0.14,0.86,1.14,4.86,0.29,0,0.29,0.29,0.29,0.14,0,0.14,0.14,0.14,Matches
108,Diogo Dalot,pt POR,DF,Manchester Utd,25-340,1999,24,24,2126,23.6,0,0.04,0.04,0,0,0,0.17,0,0.08,0.08,0.06,0.14,1.82,3.39,5.08,0,0.04,0.04,0,0.04,0.07,0.06,0.13,0.07,0.13,Matches
109,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24-233,2000,25,22,1881,20.9,0.1,0.38,0.48,0.1,0,0,0.1,0,0.1,0.1,0.3,0.4,2.49,7.46,4.02,0.1,0.38,0.48,0.1,0.48,0.1,0.3,0.4,0.1,0.4,Matches
110,Danilo,br BRA,MF,Nott'ham Forest,23-298,2001,3,3,140,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0.63,3.75,0,0,0,0,0,0,0,0,0,0,0,Matches
111,Jayden Danns,eng ENG,MF,Liverpool,19-036,2006,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
112,Kevin Danso,at AUT,DF,Tottenham,26-155,1998,1,1,77,0.9,0,0,0,0,0,0,0,0,0,0,0,0.11,1.11,1.11,0,0,0,0,0,0,0.05,0.05,0.11,0.05,0.11,Matches
113,Ben Davies,wls WAL,DF,Tottenham,31-303,1993,8,7,631,7,0,0,0,0,0,0,0.29,0,0.03,0.03,0.01,0.03,0.71,4,0.57,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,Matches
114,Leif Davis,eng ENG,DF,Ipswich Town,25-040,2000,24,24,2112,23.5,0.04,0.09,0.13,0.04,0,0,0.21,0,0.03,0.03,0.15,0.18,1.66,1.87,4.21,0.04,0.09,0.13,0.04,0.13,0.04,0.15,0.18,0.04,0.18,Matches
115,Craig Dawson,eng ENG,DF,Wolves,34-291,1990,15,10,971,10.8,0,0,0,0,0,0,0.19,0,0.05,0.05,0,0.05,0.56,1.85,0.46,0,0,0,0,0,0.05,0,0.05,0.05,0.05,Matches
116,Kevin De Bruyne,be BEL,MF,Manchester City,33-238,1991,17,11,1011,11.2,0.18,0.54,0.71,0.18,0,0,0.18,0,0.22,0.22,0.54,0.76,3.13,9.46,8.84,0.18,0.53,0.71,0.18,0.71,0.22,0.54,0.76,0.22,0.76,Matches
117,Liam Delap,eng ENG,FW,Ipswich Town,22-013,2003,24,23,1843,20.5,0.49,0.1,0.59,0.39,0.1,0.1,0.34,0,0.37,0.29,0.09,0.38,2.15,0.98,3.66,0.49,0.1,0.59,0.39,0.49,0.37,0.09,0.45,0.29,0.38,Matches
118,Sepp van den Berg,nl NED,DF,Brentford,23-063,2001,21,20,1757,19.5,0,0,0,0,0,0,0.05,0,0.04,0.04,0.01,0.05,0.31,2.72,1.18,0,0,0,0,0,0.04,0.01,0.05,0.04,0.05,Matches
119,Justin Devenny,nir NIR,MF,Crystal Palace,21-133,2003,12,3,313,3.5,0.29,0,0.29,0.29,0,0,0,0,0.14,0.14,0.09,0.23,0.86,2.57,2.57,0.29,0,0.29,0.29,0.29,0.14,0.1,0.24,0.14,0.24,Matches
120,Kiernan Dewsbury-Hall,eng ENG,MF,Chelsea,26-168,1998,7,1,161,1.8,0,0.56,0.56,0,0,0,0,0,0.11,0.11,0.56,0.67,2.22,5.56,4.44,0,0.56,0.56,0,0.56,0.12,0.55,0.67,0.12,0.67,Matches
121,Amad Diallo,ci CIV,"FW,MF",Manchester Utd,22-225,2002,22,17,1594,17.7,0.34,0.34,0.68,0.34,0,0,0.17,0,0.23,0.23,0.22,0.45,5.2,2.99,8.98,0.34,0.34,0.68,0.34,0.68,0.23,0.22,0.45,0.23,0.45,Matches
122,Ruben Dias,pt POR,DF,Manchester City,27-283,1997,14,13,1177,13.1,0,0,0,0,0,0,0.23,0,0.08,0.08,0.02,0.1,1.45,5.95,0.38,0,0,0,0,0,0.08,0.02,0.1,0.08,0.1,Matches
123,Luis Diaz,co COL,FW,Liverpool,28-039,1997,25,19,1596,17.7,0.51,0.11,0.62,0.51,0,0,0.11,0,0.4,0.4,0.12,0.51,3.67,4.18,9.72,0.51,0.11,0.62,0.51,0.62,0.39,0.12,0.51,0.39,0.51,Matches
124,Tyler Dibling,eng ENG,"FW,MF",Southampton,18-346,2006,21,14,1265,14.1,0.14,0,0.14,0.14,0,0,0.43,0,0.15,0.15,0.09,0.24,3.76,3.05,4.96,0.14,0,0.14,0.14,0.14,0.15,0.09,0.24,0.15,0.24,Matches
125,Lucas Digne,fr FRA,DF,Aston Villa,31-216,1993,26,23,1894,21,0,0.19,0.19,0,0,0,0.14,0,0.04,0.04,0.18,0.22,0.9,2.24,5.76,0,0.19,0.19,0,0.19,0.04,0.18,0.22,0.04,0.22,Matches
126,Issa Diop,fr FRA,DF,Fulham,28-043,1997,17,12,1072,11.9,0,0,0,0,0,0,0.17,0,0.04,0.04,0.01,0.05,0.34,1.93,0.08,0,0,0,0,0,0.04,0.01,0.05,0.04,0.05,Matches
127,Axel Disasi,fr FRA,DF,Aston Villa,26-347,1998,2,2,180,2,0,0,0,0,0,0,0.5,0,0,0,0.15,0.15,2.5,3.5,2,0,0,0,0,0,0,0.16,0.16,0,0.16,Matches
128,Axel Disasi,fr FRA,DF,Chelsea,26-347,1998,6,4,364,4,0.25,0,0.25,0.25,0,0,0.25,0,0.07,0.07,0.03,0.1,1.5,4,0.5,0.25,0,0.25,0.25,0.25,0.07,0.02,0.09,0.07,0.09,Matches
129,Roman Dixon,eng ENG,DF,Everton,20-057,2004,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
130,Matt Doherty,ie IRL,DF,Wolves,33-036,1992,18,14,1250,13.9,0.14,0.07,0.22,0.14,0,0,0.29,0,0.06,0.06,0.1,0.17,1.22,3.67,2.3,0.14,0.07,0.22,0.14,0.22,0.07,0.1,0.17,0.07,0.17,Matches
131,Jeremy Doku,be BEL,"FW,MF",Manchester City,22-270,2002,16,9,804,8.9,0.34,0.45,0.79,0.34,0,0,0,0,0.09,0.09,0.26,0.35,11.9,4.16,16.5,0.34,0.45,0.78,0.34,0.78,0.08,0.26,0.34,0.08,0.34,Matches
132,Nicolas Dominguez,ar ARG,"MF,FW",Nott'ham Forest,26-238,1998,21,12,1124,12.5,0,0,0,0,0,0,0.48,0,0.1,0.1,0.06,0.15,0.72,3.68,1.28,0,0,0,0,0,0.1,0.05,0.15,0.1,0.15,Matches
133,Patrick Dorgu,dk DEN,DF,Manchester Utd,20-118,2004,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0.1,4,4,8,0,0,0,0,0,0.03,0.05,0.08,0.03,0.08,Matches
134,Alfie Dorrington,eng ENG,DF,Tottenham,19-307,2005,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
135,Abdoulaye Doucoure,ml MLI,MF,Everton,32-051,1993,22,21,1771,19.7,0.05,0,0.05,0.05,0,0,0.2,0.05,0.09,0.09,0.06,0.15,1.47,2.99,3.25,0.05,0,0.05,0.05,0.05,0.09,0.06,0.15,0.09,0.15,Matches
136,Cheick Doucoure,ml MLI,MF,Crystal Palace,25-044,2000,13,4,452,5,0,0,0,0,0,0,0.2,0,0.08,0.08,0,0.08,0.4,3.8,1.4,0,0,0,0,0,0.08,0,0.08,0.08,0.08,Matches
137,Flynn Downes,eng ENG,MF,Southampton,26-032,1999,18,17,1432,15.9,0.06,0,0.06,0.06,0,0,0.57,0,0.04,0.04,0.06,0.09,1.13,3.14,1.45,0.06,0,0.06,0.06,0.06,0.04,0.06,0.09,0.04,0.09,Matches
138,Tommy Doyle,eng ENG,MF,Wolves,23-127,2001,20,3,470,5.2,0,0.19,0.19,0,0,0,0.19,0,0.12,0.12,0.1,0.21,1.15,7.5,0.38,0,0.19,0.19,0,0.19,0.11,0.1,0.2,0.11,0.2,Matches
139,Radu Dragusin,ro ROU,DF,Tottenham,23-018,2002,16,14,1252,13.9,0,0,0,0,0,0,0.07,0,0.01,0.01,0.03,0.04,0.5,2.66,0.14,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04,Matches
140,Martin Dúbravka,sk SVK,GK,Newcastle Utd,36-037,1989,10,10,900,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
141,Lewis Dunk,eng ENG,DF,Brighton,33-092,1991,19,17,1562,17.4,0,0,0,0,0,0,0.23,0,0.04,0.04,0.03,0.07,0.98,6.38,0.11,0,0,0,0,0,0.04,0.03,0.07,0.04,0.07,Matches
142,Jader Duran,co COL,FW,Aston Villa,21-070,2003,20,4,638,7.1,0.99,0,0.99,0.99,0,0,0.42,0.14,0.69,0.69,0.03,0.72,0.99,1.83,6.2,0.99,0,0.99,0.99,0.99,0.69,0.03,0.71,0.69,0.71,Matches
143,Ederson,br BRA,GK,Manchester City,31-188,1993,16,16,1440,16,0,0.19,0.19,0,0,0,0.19,0,0,0,0.05,0.05,0,0.06,0,0,0.19,0.19,0,0.19,0,0.05,0.05,0,0.05,Matches
144,George Edmundson,eng ENG,DF,Ipswich Town,27-174,1997,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
145,Odsonne Edouard,fr FRA,"MF,FW",Crystal Palace,27-036,1998,2,1,115,1.3,0,0,0,0,0,0,0,0,0.31,0.31,0,0.31,1.54,3.08,5.38,0,0,0,0,0,0.31,0.04,0.34,0.31,0.34,Matches
146,Odsonne Edouard,fr FRA,FW,Leicester City,27-036,1998,4,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,6.67,0,0,0,0,0,0,0.13,0.13,0,0.13,Matches
147,Samuel Edozie,eng ENG,"DF,FW",Southampton,22-024,2003,2,0,65,0.7,0,0,0,0,0,0,1.43,0,0,0,0.14,0.14,8.57,5.71,32.9,0,0,0,0,0,0,0.14,0.14,0,0.14,Matches
148,Ronnie Edwards,eng ENG,DF,Southampton,21-330,2003,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
149,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,22-300,2002,25,19,1549,17.2,0.17,0.47,0.64,0.17,0,0,0.06,0,0.15,0.15,0.23,0.38,3.6,1.98,7.27,0.17,0.46,0.64,0.17,0.64,0.15,0.23,0.38,0.15,0.38,Matches
150,Harvey Elliott,eng ENG,"MF,FW",Liverpool,21-323,2003,9,0,82,0.9,0,1.11,1.11,0,0,0,0,0,0.11,0.11,0.89,0.89,3.33,12.2,8.89,0,1.1,1.1,0,1.1,0.07,0.84,0.91,0.07,0.91,Matches
151,Yunus Emre Konak,tr TUR,"MF,FW",Brentford,19-042,2006,5,0,21,0.2,0,0,0,0,0,0,0,0,1,1,0,1,5,10,5,0,0,0,0,0,0.66,0,0.66,0.66,0.66,Matches
152,Julio Enciso,py PAR,"MF,FW",Ipswich Town,21-029,2004,3,2,116,1.3,0,0.77,0.77,0,0,0,0.77,0,0.31,0.31,0.23,0.54,3.08,6.92,6.15,0,0.78,0.78,0,0.78,0.33,0.2,0.53,0.33,0.53,Matches
153,Julio Enciso,py PAR,"MF,FW",Brighton,21-029,2004,12,2,294,3.3,0,0,0,0,0,0,0,0,0.3,0.3,0.06,0.36,3.33,4.24,5.15,0,0,0,0,0,0.31,0.07,0.38,0.31,0.38,Matches
154,Wataru Endo,jp JPN,MF,Liverpool,32-012,1993,11,0,106,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,5.83,0.83,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches
155,Christian Eriksen,dk DEN,MF,Manchester Utd,33-007,1992,13,7,637,7.1,0,0.14,0.14,0,0,0,0.28,0,0.01,0.01,0.3,0.31,0.7,4.79,2.68,0,0.14,0.14,0,0.14,0.02,0.29,0.3,0.02,0.3,Matches
156,Romain Esse,eng ENG,MF,Crystal Palace,19-284,2005,1,0,7,0.1,10,0,10,10,0,0,0,0,3,3,0,3,0,10,20,12.86,0,12.86,12.86,12.86,3.61,0,3.61,3.61,3.61,Matches
157,Pervis Estupinan,ec ECU,DF,Brighton,27-031,1998,18,15,1417,15.7,0,0.06,0.06,0,0,0,0.19,0,0.04,0.04,0.11,0.15,2.48,4.52,4.84,0,0.06,0.06,0,0.06,0.04,0.11,0.15,0.04,0.15,Matches
158,Evanilson,br BRA,FW,Bournemouth,25-138,1999,19,17,1370,15.2,0.33,0,0.33,0.33,0,0.07,0,0,0.43,0.38,0.07,0.45,1.25,0.86,4.01,0.33,0,0.33,0.33,0.33,0.43,0.07,0.51,0.38,0.45,Matches
159,Jonny Evans,nir NIR,DF,Manchester Utd,37-049,1988,6,3,290,3.2,0,0,0,0,0,0,0.31,0,0.03,0.03,0,0.03,0.31,2.5,0.63,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
160,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,26-237,1998,21,19,1656,18.4,0.11,0.27,0.38,0.11,0,0,0.05,0,0.28,0.28,0.2,0.47,2.61,3.91,6.03,0.11,0.27,0.38,0.11,0.38,0.28,0.2,0.47,0.28,0.47,Matches
161,Lukasz Fabianski,pl POL,GK,West Ham,39-309,1985,13,12,1070,11.9,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
162,Wout Faes,be BEL,DF,Leicester City,26-324,1998,22,18,1735,19.3,0.05,0,0.05,0.05,0,0,0.16,0,0.06,0.06,0.01,0.06,0.41,3.01,0.05,0.05,0,0.05,0.05,0.05,0.06,0,0.06,0.06,0.06,Matches
163,Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,20-350,2004,11,6,579,6.4,0,0.31,0.31,0,0,0,0,0,0.06,0.06,0.25,0.31,6.56,2.66,9.38,0,0.31,0.31,0,0.31,0.06,0.24,0.31,0.06,0.31,Matches
164,Joao Felix,pt POR,"FW,MF",Chelsea,25-103,1999,12,3,369,4.1,0.24,0.24,0.49,0.24,0,0,0.49,0,0.54,0.54,0.24,0.78,5.12,6.34,7.07,0.24,0.24,0.49,0.24,0.49,0.54,0.23,0.78,0.54,0.78,Matches
165,Evan Ferguson,ie IRL,FW,West Ham,20-125,2004,1,0,45,0.5,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6,2,0,4,0,0,0,0,0,0.24,0.46,0.7,0.24,0.7,Matches
166,Evan Ferguson,ie IRL,FW,Brighton,20-125,2004,13,2,246,2.7,0.37,0,0.37,0.37,0,0,0,0,0.19,0.19,0.15,0.37,0.74,0.37,3.33,0.37,0,0.37,0.37,0.37,0.2,0.15,0.35,0.2,0.35,Matches
167,Bruno Fernandes,pt POR,MF,Manchester Utd,30-166,1994,24,24,2015,22.4,0.22,0.27,0.49,0.09,0.13,0.13,0.18,0.09,0.35,0.25,0.24,0.48,2.32,8.79,4.55,0.22,0.27,0.49,0.09,0.36,0.35,0.24,0.59,0.24,0.48,Matches
168,Mateus Fernandes,pt POR,MF,Southampton,20-226,2004,23,21,1829,20.3,0.05,0.1,0.15,0.05,0,0,0.34,0,0.15,0.15,0.1,0.25,2.76,4.63,3.3,0.05,0.1,0.15,0.05,0.15,0.15,0.1,0.25,0.15,0.25,Matches
169,Enzo Fernandez,ar ARG,MF,Chelsea,24-035,2001,23,19,1782,19.8,0.15,0.2,0.35,0.15,0,0,0.25,0,0.15,0.15,0.19,0.34,1.36,6.77,3.43,0.15,0.2,0.35,0.15,0.35,0.15,0.19,0.34,0.15,0.34,Matches
170,Mark Flekken,nl NED,GK,Brentford,31-253,1993,24,24,2105,23.4,0,0.04,0.04,0,0,0,0.04,0,0,0,0.01,0.01,0,0,0,0,0.04,0.04,0,0.04,0,0.01,0.01,0,0.01,Matches
171,Phil Foden,eng ENG,"MF,FW",Manchester City,24-269,2000,20,16,1439,16,0.44,0.13,0.56,0.44,0,0,0.13,0,0.29,0.29,0.28,0.56,2.56,5.31,6.44,0.44,0.13,0.56,0.44,0.56,0.29,0.28,0.57,0.29,0.57,Matches
172,Wesley Fofana,fr FRA,DF,Chelsea,24-066,2000,12,12,1015,11.3,0,0,0,0,0,0,0.53,0,0.04,0.04,0.04,0.07,1.24,2.21,0.35,0,0,0,0,0,0.04,0.04,0.07,0.04,0.07,Matches
173,Carlos Forbs,pt POR,"MF,FW",Wolves,20-339,2004,9,1,237,2.6,0,0,0,0,0,0,0.77,0,0.04,0.04,0,0.08,3.46,3.08,10.8,0,0,0,0,0,0.05,0.01,0.07,0.05,0.07,Matches
174,Fraser Forster,eng ENG,GK,Tottenham,36-341,1988,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
175,Ryan Fraser,sct SCO,"FW,DF",Southampton,30-363,1994,8,4,306,3.4,0,0,0,0,0,0,0,0.29,0,0,0.03,0.03,2.94,2.35,5.29,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04,Matches
176,Niclas Fullkrug,de GER,FW,West Ham,32-012,1993,9,3,370,4.1,0.49,0.24,0.73,0.49,0,0,0.24,0,0.34,0.34,0.24,0.59,0.73,0.98,1.95,0.49,0.24,0.73,0.49,0.73,0.35,0.24,0.59,0.35,0.59,Matches
177,Cody Gakpo,nl NED,FW,Liverpool,25-290,1999,24,16,1370,15.2,0.53,0.2,0.72,0.53,0,0,0.26,0,0.36,0.36,0.23,0.59,2.5,2.83,13.6,0.53,0.2,0.72,0.53,0.72,0.36,0.23,0.59,0.36,0.59,Matches
178,Idrissa Gana Gueye,sn SEN,MF,Everton,35-148,1989,24,22,1923,21.4,0,0.09,0.09,0,0,0,0.23,0,0.04,0.04,0.06,0.1,0.75,4.35,0.75,0,0.09,0.09,0,0.09,0.04,0.05,0.1,0.04,0.1,Matches
179,Andres Garcia,es ESP,DF,Aston Villa,22-014,2003,3,3,201,2.2,0,0,0,0,0,0,0,0,0,0,0,0,8.64,3.64,7.27,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
180,Alejandro Garnacho,ar ARG,"FW,MF",Manchester Utd,20-235,2004,24,14,1411,15.7,0.19,0.06,0.25,0.19,0,0,0.06,0,0.34,0.34,0.16,0.5,5.16,1.91,12.2,0.19,0.06,0.26,0.19,0.26,0.35,0.16,0.51,0.35,0.51,Matches
181,James Garner,eng ENG,"MF,DF",Everton,23-345,2001,8,5,524,5.8,0,0.17,0.17,0,0,0,0.34,0,0.02,0.02,0.12,0.14,0.34,1.9,1.38,0,0.17,0.17,0,0.17,0.01,0.13,0.14,0.01,0.14,Matches
182,Tyrique George,eng ENG,FW,Chelsea,19-017,2006,2,0,33,0.4,0,0,0,0,0,0,2.5,0,0.25,0.25,0,0.25,7.5,0,17.5,0,0,0,0,0,0.16,0,0.16,0.16,0.16,Matches
183,Morgan Gibbs-White,eng ENG,MF,Nott'ham Forest,25-025,2000,21,21,1660,18.4,0.27,0.27,0.54,0.27,0,0,0.38,0.05,0.18,0.18,0.19,0.37,2.66,5.54,4.46,0.27,0.27,0.54,0.27,0.54,0.18,0.19,0.37,0.18,0.37,Matches
184,Billy Gilmour,sct SCO,MF,Brighton,23-255,2001,2,1,98,1.1,0,0,0,0,0,0,0,0,0.09,0.09,0,0.09,1.82,10,1.82,0,0,0,0,0,0.07,0,0.07,0.07,0.07,Matches
185,Ben Godfrey,eng ENG,DF,Ipswich Town,27-037,1998,1,1,63,0.7,0,0,0,0,0,0,0,0,0,0,0,0,1.43,4.29,0,0,0,0,0,0,0,0,0,0,0,Matches
186,Martial Godo,eng ENG,FW,Fulham,21-344,2003,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,Matches
187,Joao Gomes,br BRA,MF,Wolves,24-009,2001,23,23,1934,21.5,0.09,0.05,0.14,0.09,0,0,0.37,0.05,0.08,0.08,0.04,0.12,1.67,5.26,2.19,0.09,0.05,0.14,0.09,0.14,0.08,0.04,0.12,0.08,0.12,Matches
188,Rodrigo Gomes,pt POR,"DF,FW",Wolves,21-229,2003,17,6,569,6.3,0.16,0,0.16,0.16,0,0,0,0,0.06,0.06,0.11,0.17,2.7,3.49,9.05,0.16,0,0.16,0.16,0.16,0.06,0.11,0.17,0.06,0.17,Matches
189,Toti Gomes,pt POR,DF,Wolves,26-036,1999,18,17,1444,16,0,0.06,0.06,0,0,0,0.25,0,0,0,0.04,0.04,0.63,2.44,0.44,0,0.06,0.06,0,0.06,0,0.04,0.04,0,0.04,Matches
190,Diego Gómez,py PAR,MF,Brighton,21-331,2003,3,0,63,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86,0,0,0,0,0,0,0,0,0,0,0,Matches
191,Joe Gomez,eng ENG,DF,Liverpool,27-274,1997,9,6,519,5.8,0,0,0,0,0,0,0.17,0,0.05,0.05,0.02,0.07,0.86,6.03,0.34,0,0,0,0,0,0.06,0.02,0.08,0.06,0.08,Matches
192,Nicolas Gonzalez,es ESP,MF,Manchester City,23-049,2002,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,0,0,0,0,0,0,0,0,0,0,Matches
193,Anthony Gordon,eng ENG,FW,Newcastle Utd,23-363,2001,24,23,1928,21.4,0.28,0.23,0.51,0.23,0.05,0.09,0.09,0,0.35,0.27,0.23,0.5,4.58,3.5,8.36,0.28,0.23,0.51,0.23,0.47,0.34,0.23,0.57,0.27,0.5,Matches
194,Ryan Gravenberch,nl NED,MF,Liverpool,22-281,2002,26,26,2225,24.7,0,0.08,0.08,0,0,0,0.2,0,0.04,0.04,0.11,0.15,2.02,5.26,1.58,0,0.08,0.08,0,0.08,0.03,0.11,0.14,0.03,0.14,Matches
195,Archie Gray,eng ENG,DF,Tottenham,18-346,2006,18,10,975,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0.28,2.31,0.65,0,0,0,0,0,0,0,0,0,0,Matches
196,Jack Grealish,eng ENG,"FW,MF",Manchester City,29-164,1995,15,6,608,6.8,0,0.15,0.15,0,0,0,0.44,0,0.12,0.12,0.25,0.35,9.71,6.32,16.3,0,0.15,0.15,0,0.15,0.12,0.25,0.36,0.12,0.36,Matches
197,Jacob Greaves,eng ENG,DF,Ipswich Town,24-162,2000,15,15,1350,15,0.07,0,0.07,0.07,0,0,0.2,0,0.05,0.05,0,0.05,0.13,2.13,0.27,0.07,0,0.07,0.07,0.07,0.05,0,0.05,0.05,0.05,Matches
198,Brajan Gruda,de GER,"FW,MF",Brighton,20-266,2004,11,5,367,4.1,0,0,0,0,0,0,0,0,0.07,0.07,0.12,0.2,3.41,3.17,9.51,0,0,0,0,0,0.07,0.13,0.21,0.07,0.21,Matches
199,Albert Gronbaek,dk DEN,MF,Southampton,23-274,2001,1,1,69,0.8,0,0,0,0,0,0,0,0,0.13,0.13,0,0.13,1.25,0,1.25,0,0,0,0,0,0.15,0,0.15,0.15,0.15,Matches
200,Gonçalo Guedes,pt POR,"MF,FW",Wolves,28-084,1996,22,7,740,8.2,0.24,0.49,0.73,0.24,0,0,0.12,0,0.27,0.27,0.13,0.4,3.41,3.41,6.59,0.24,0.49,0.73,0.24,0.73,0.26,0.13,0.4,0.26,0.4,Matches
201,Marc Guehi,eng ENG,DF,Crystal Palace,24-223,2000,24,24,2160,24,0.13,0.08,0.21,0.13,0,0,0.21,0,0.07,0.07,0.05,0.11,0.5,4.17,0.29,0.12,0.08,0.21,0.12,0.21,0.07,0.04,0.11,0.07,0.11,Matches
202,Luis Guilherme,br BRA,"MF,FW",West Ham,19-012,2006,7,0,57,0.6,0,0,0,0,0,0,0,0,0,0,0,0.17,1.67,3.33,10,0,0,0,0,0,0.05,0.08,0.13,0.05,0.13,Matches
203,Bruno Guimaraes,br BRA,MF,Newcastle Utd,27-097,1997,25,25,2159,24,0.08,0.25,0.33,0.08,0,0,0.17,0,0.09,0.09,0.21,0.3,1.33,7.58,2.42,0.08,0.25,0.33,0.08,0.33,0.09,0.21,0.31,0.09,0.31,Matches
204,Marc Guiu,es ESP,FW,Chelsea,19-048,2006,3,0,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75,0,0,0,0,0,0,0.04,0.04,0,0.04,Matches
205,Ilkay Gundogan,de GER,MF,Manchester City,34-120,1990,22,16,1430,15.9,0,0.13,0.13,0,0,0,0.06,0,0.1,0.1,0.13,0.23,2.39,5.97,3.71,0,0.13,0.13,0,0.13,0.1,0.13,0.23,0.1,0.23,Matches
206,Malo Gusto,fr FRA,DF,Chelsea,21-278,2003,21,15,1366,15.2,0,0.07,0.07,0,0,0,0.2,0,0.1,0.1,0.07,0.16,2.24,5.2,4.41,0,0.07,0.07,0,0.07,0.1,0.06,0.16,0.1,0.16,Matches
207,Josko Gvardiol,hr CRO,DF,Manchester City,23-029,2002,24,23,2108,23.4,0.21,0,0.21,0.21,0,0,0.04,0,0.18,0.16,0.07,0.23,2.44,7.05,3.72,0.21,0,0.21,0.21,0.21,0.18,0.07,0.25,0.16,0.23,Matches
208,Erling Haaland,no NOR,FW,Manchester City,24-215,2000,25,25,2210,24.6,0.77,0.12,0.89,0.73,0.04,0.08,0.08,0,0.74,0.68,0.11,0.79,0.69,0.65,3.98,0.77,0.12,0.9,0.73,0.86,0.75,0.11,0.86,0.68,0.79,Matches
209,Lewis Hall,eng ENG,DF,Newcastle Utd,20-166,2004,25,22,2009,22.3,0,0.13,0.13,0,0,0,0.13,0,0.02,0.02,0.18,0.2,1.66,5.11,3.23,0,0.13,0.13,0,0.13,0.02,0.18,0.2,0.02,0.2,Matches
210,Ali Al Hamadi,iq IRQ,FW,Ipswich Town,22-357,2002,11,0,134,1.5,0,0,0,0,0,0,2,0,0.27,0.27,0.07,0.27,2.67,2,9.33,0,0,0,0,0,0.24,0.05,0.28,0.24,0.28,Matches
211,Marcus Harness,eng ENG,MF,Ipswich Town,28-363,1996,2,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,Matches
212,Jack Harrison,eng ENG,FW,Everton,28-093,1996,21,13,1156,12.8,0,0,0,0,0,0,0,0,0.19,0.19,0.16,0.34,2.27,2.19,5.39,0,0,0,0,0,0.18,0.16,0.34,0.18,0.34,Matches
213,Taylor Harwood-Bellis,eng ENG,DF,Southampton,23-022,2002,23,22,1895,21.1,0.05,0,0.05,0.05,0,0,0.33,0,0.08,0.08,0.04,0.11,0.9,4.36,0.33,0.05,0,0.05,0.05,0.05,0.07,0.04,0.11,0.07,0.11,Matches
214,Kai Havertz,de GER,"FW,MF",Arsenal,25-255,1999,21,21,1839,20.4,0.44,0.15,0.59,0.44,0,0,0.2,0,0.46,0.46,0.12,0.58,1.67,2.89,5.39,0.44,0.15,0.59,0.44,0.59,0.46,0.12,0.58,0.46,0.58,Matches
