Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,01-Mar,CPA,Mis,Dis,Rec,PrgR,Matches
113,Ben Davies,wls WAL,DF,Tottenham,31-303,1993,7,84.4,15,43.6,37,3.86,0.86,84.4,0,0,,0,,47.7,237.4,139,0.71,0.71,0,0.14,0,56.6,0.57,Matches
114,Leif Davis,eng ENG,DF,Ipswich Town,25-040,2000,23.5,50.6,4.17,18.3,16.2,16.8,1.49,50.6,1.45,0.47,32.4,0.72,50,22.8,124.2,66.5,1.66,0.89,0.43,1.32,0.43,26.3,4.21,Matches
115,Craig Dawson,eng ENG,DF,Wolves,34-291,1990,10.8,62.1,12,36.7,23.1,2.59,1.3,62.1,0.46,0.09,20,0.19,40,36.1,168.4,86.9,0.56,0.09,0,0.19,0,41,0.46,Matches
116,Kevin De Bruyne,be BEL,MF,Manchester City,33-238,1991,11.2,78,0.8,4.55,26.3,47.7,4.46,78,1.88,0.8,42.9,0.89,47.6,44.4,221.5,119.6,3.13,3.04,1.25,1.43,1.79,59.1,8.84,Matches
117,Liam Delap,eng ENG,FW,Ipswich Town,22-013,2003,20.5,22.1,0.98,2.54,9.41,10.7,3.12,22,2.98,1.37,45.9,1.32,44.3,14.6,112.4,53.8,2.15,1.56,1.02,3.71,2.24,17.5,3.66,Matches
118,Sepp van den Berg,nl NED,DF,Brentford,23-063,2001,19.5,55.7,10.3,28.3,21,6.56,1.49,55.7,0.36,0.21,57.1,0.15,42.9,23.4,110.9,55.8,0.31,0.46,0,0.56,0.26,30.9,1.18,Matches
119,Justin Devenny,nir NIR,MF,Crystal Palace,21-133,2003,3.5,50.9,1.14,9.43,25.1,17.7,1.43,50.9,1.14,0.57,50,0.57,50,22.9,120.3,56,0.86,1.14,0.29,2.57,0.57,31.1,2.57,Matches
120,Kiernan Dewsbury-Hall,eng ENG,MF,Chelsea,26-168,1998,1.8,60.6,1.11,9.44,32.8,18.3,2.78,60.6,1.67,0.56,33.3,1.11,66.7,31.7,177.2,86.1,2.22,0,0,0.56,1.67,48.3,4.44,Matches
121,Amad Diallo,ci CIV,"FW,MF",Manchester Utd,22-225,2002,17.7,57.2,0.73,8.47,21.1,28.5,6.16,57.2,4.07,2.03,50,1.81,44.4,37.1,253.2,129.6,5.2,2.6,2.94,1.98,1.81,40.3,8.98,Matches
122,Ruben Dias,pt POR,DF,Manchester City,27-283,1997,13.1,100.2,9.24,32.4,52.4,15.6,1.15,100.2,0.08,0,0,0.08,100,70.2,399.2,236.2,1.45,2.9,0.08,0.23,0.08,81.5,0.38,Matches
123,Luis Diaz,co COL,FW,Liverpool,28-039,1997,17.7,43.6,0.68,3.39,15.7,25.3,6.1,43.6,4.58,1.86,40.7,2.09,45.7,28.5,208.1,106.5,3.67,2.03,1.92,2.15,1.98,34,9.72,Matches
124,Tyler Dibling,eng ENG,"FW,MF",Southampton,18-346,2006,14.1,41.6,1.06,4.61,18.9,19,2.27,41.6,5.53,2.13,38.5,2.2,39.7,27.1,229.5,120.3,3.76,2.77,1.49,2.27,2.48,31.6,4.96,Matches
125,Lucas Digne,fr FRA,DF,Aston Villa,31-216,1993,21,61.6,3.76,21,18.7,22.4,1.14,61.6,0.81,0.43,52.9,0.33,41.2,29.1,128.5,57.4,0.9,0.62,0.14,0.67,0.67,33.9,5.76,Matches
126,Issa Diop,fr FRA,DF,Fulham,28-043,1997,11.9,61.8,8.99,33.6,26.7,1.51,0.92,61.8,0.08,0.08,100,0,0,37.1,168.2,85.7,0.34,0.17,0,0.59,0.08,42.8,0.08,Matches
127,Axel Disasi,fr FRA,DF,Aston Villa,26-347,1998,2,80.5,7.5,30.5,46.5,4,1.5,80.5,2,1.5,75,0.5,25,62,351.5,158,2.5,1,1,0,0.5,62.5,2,Matches
128,Axel Disasi,fr FRA,DF,Chelsea,26-347,1998,4,80.8,4.25,27.5,43.8,10,0.5,80.8,0.25,0.25,100,0,0,49,238.3,129.8,1.5,0.75,0,0.25,0.75,60.5,0.5,Matches
129,Roman Dixon,eng ENG,DF,Everton,20-057,2004,1,36,8,19,14,4,0,36,3,0,0,3,100,16,107,48,0,0,0,2,0,13,1,Matches
130,Matt Doherty,ie IRL,DF,Wolves,33-036,1992,13.9,64.6,5.32,25,30.4,9.78,1.51,64.6,0.94,0.5,53.8,0.29,30.8,33.7,151.2,85.1,1.22,0.65,0.22,0.65,0.22,40.4,2.3,Matches
131,Jeremy Doku,be BEL,"FW,MF",Manchester City,22-270,2002,8.9,61.6,0.34,3.15,13.6,46.2,8.76,61.6,10.2,5.17,50.5,3.15,30.8,46.6,428.4,271.5,11.9,5.84,5.51,3.48,3.71,50.8,16.5,Matches
132,Nicolas Dominguez,ar ARG,"MF,FW",Nott'ham Forest,26-238,1998,12.5,58.6,3.2,14.2,30.3,14.6,1.28,58.6,0.4,0.08,20,0.24,60,23.3,86.1,39.2,0.72,0.56,0.16,0.88,0.64,33,1.28,Matches
133,Patrick Dorgu,dk DEN,DF,Manchester Utd,20-118,2004,1,52,1,16,16,20,2,52,0,0,,0,,31,186,140,4,1,1,1,0,33,8,Matches
134,Alfie Dorrington,eng ENG,DF,Tottenham,19-307,2005,0.2,80,0,55,25,0,0,80,0,0,,0,,60,305,130,0,0,0,0,0,65,0,Matches
135,Abdoulaye Doucoure,ml MLI,MF,Everton,32-051,1993,19.7,41.6,1.32,8.93,19.2,14,1.68,41.6,1.27,0.71,56,0.56,44,21.9,109.5,51.1,1.47,0.91,0.15,1.22,1.27,27.3,3.25,Matches
136,Cheick Doucoure,ml MLI,MF,Crystal Palace,25-044,2000,5,52.6,2.2,11.2,33,9,0.8,52.6,1,0.4,40,0.4,40,26.6,116.2,56,0.4,1.4,0.2,0.8,1.4,32,1.4,Matches
137,Flynn Downes,eng ENG,MF,Southampton,26-032,1999,15.9,59.6,4.21,18.4,31.1,10.4,1.13,59.6,0.69,0.19,27.3,0.44,63.6,27.6,149.6,78.7,1.13,0.88,0.25,0.75,0.88,42.8,1.45,Matches
138,Tommy Doyle,eng ENG,MF,Wolves,23-127,2001,5.2,82.9,3.85,23.5,46,14,0.58,82.9,1.54,0.77,50,0.19,12.5,46.5,252.5,104.4,1.15,0.58,0,1.35,0.77,54.4,0.38,Matches
139,Radu Dragusin,ro ROU,DF,Tottenham,23-018,2002,13.9,69.1,10.6,36.7,30.9,2.16,0.86,69.1,0.14,0,0,0,0,44.8,240.9,119.9,0.5,0.22,0,0.58,0.14,48.1,0.14,Matches
140,Martin Dúbravka,sk SVK,GK,Newcastle Utd,36-037,1989,10,35,26.2,33.7,1.4,0,0,35,0,0,,0,,20.2,104.3,64.3,0,0,0,0,0,17.5,0,Matches
141,Lewis Dunk,eng ENG,DF,Brighton,33-092,1991,17.4,92,11.8,44.7,43,4.83,0.86,92,0.06,0,0,0.06,100,56.8,269.7,148,0.98,0.86,0,0.23,0.17,66.8,0.11,Matches
142,Jader Duran,co COL,FW,Aston Villa,21-070,2003,7.1,37,1.83,5.07,15.5,17.2,6.62,37,1.97,0.42,21.4,1.27,64.3,18.7,75.4,37.6,0.99,0.99,0.28,2.25,2.11,27,6.2,Matches
143,Ederson,br BRA,GK,Manchester City,31-188,1993,16,40.1,27.6,39.5,0.56,0,0,40.1,0,0,,0,,26.3,117.9,73.9,0,0,0,0.06,0,26.3,0,Matches
144,George Edmundson,eng ENG,DF,Ipswich Town,27-174,1997,0,3,1,3,0,0,0,3,0,0,,0,,1,2,0,0,0,0,0,0,1,0,Matches
145,Odsonne Edouard,fr FRA,"MF,FW",Crystal Palace,27-036,1998,1.3,34.6,0.77,3.08,17.7,13.8,6.15,34.6,0.77,0,0,0.77,100,17.7,82.3,38.5,1.54,0.77,1.54,3.08,0.77,20,5.38,Matches
146,Odsonne Edouard,fr FRA,FW,Leicester City,27-036,1998,0.3,66.7,3.33,6.67,23.3,36.7,20,66.7,6.67,3.33,50,3.33,50,36.7,83.3,6.67,0,0,3.33,23.3,6.67,43.3,6.67,Matches
147,Samuel Edozie,eng ENG,"DF,FW",Southampton,22-024,2003,0.7,61.4,0,0,10,51.4,14.3,61.4,5.71,2.86,50,2.86,50,48.6,480,281.4,8.57,2.86,5.71,5.71,0,55.7,32.9,Matches
148,Ronnie Edwards,eng ENG,DF,Southampton,21-330,2003,0.1,60,30,40,20,0,0,60,0,0,,0,,30,100,0,0,0,0,0,0,50,0,Matches
149,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,22-300,2002,17.2,40.5,1.51,5.93,11.5,23.7,3.95,40.5,2.91,0.81,28,1.22,42,21.3,162.2,93,3.6,1.8,1.69,2.79,1.63,26.5,7.27,Matches
150,Harvey Elliott,eng ENG,"MF,FW",Liverpool,21-323,2003,0.9,122.2,1.11,12.2,41.1,68.9,5.56,122.2,2.22,0,0,2.22,100,70,341.1,171.1,3.33,2.22,2.22,1.11,1.11,86.7,8.89,Matches
151,Yunus Emre Konak,tr TUR,"MF,FW",Brentford,19-042,2006,0.2,115,0,25,50,40,0,115,5,0,0,5,100,45,255,170,5,0,5,10,15,65,5,Matches
152,Julio Enciso,py PAR,"MF,FW",Ipswich Town,21-029,2004,1.3,64.6,0.77,8.46,30.8,26.9,1.54,64.6,8.46,5.38,63.6,3.08,36.4,33.8,290.8,160,3.08,5.38,0.77,0.77,4.62,50,6.15,Matches
153,Julio Enciso,py PAR,"MF,FW",Brighton,21-029,2004,3.3,61.2,0.61,5.15,21.8,35.2,6.06,61.2,6.36,3.03,47.6,2.42,38.1,34.5,205.5,117,3.33,3.03,1.21,2.12,2.73,42.7,5.15,Matches
154,Wataru Endo,jp JPN,MF,Liverpool,32-012,1993,1.2,67.5,1.67,12.5,42.5,13.3,1.67,67.5,0.83,0.83,100,0,0,32.5,120.8,36.7,0,0,0.83,4.17,1.67,45,0.83,Matches
155,Christian Eriksen,dk DEN,MF,Manchester Utd,33-007,1992,7.1,71,2.39,14.5,36.8,20.3,1.27,71,0.14,0,0,0.14,100,39,135.5,51.5,0.7,0.85,0,0.42,0.42,46.5,2.68,Matches
156,Romain Esse,eng ENG,MF,Crystal Palace,19-284,2005,0.1,60,0,10,20,30,20,60,0,0,,0,,30,170,10,0,0,0,0,0,40,20,Matches
157,Pervis Estupinan,ec ECU,DF,Brighton,27-031,1998,15.7,72.5,2.99,17.7,36.2,19.4,1.21,72.5,1.34,0.64,47.6,0.64,47.6,38.9,192.7,105.2,2.48,1.85,0.45,1.34,1.27,44.5,4.84,Matches
158,Evanilson,br BRA,FW,Bournemouth,25-138,1999,15.2,22.1,0.86,1.51,8.62,12.1,5.2,22,1.25,0.39,31.6,0.46,36.8,13.6,71.5,33.1,1.25,0.66,0.72,1.84,1.18,16.1,4.01,Matches
159,Jonny Evans,nir NIR,DF,Manchester Utd,37-049,1988,3.2,69.7,9.38,39.1,28.4,3.44,0.63,69.7,0.31,0.31,100,0,0,40,155.6,57.2,0.31,0,0,0.31,0,42.8,0.63,Matches
160,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,26-237,1998,18.4,53.2,0.6,6.96,24.9,22.7,3.53,53.2,4.84,2.17,44.9,2.45,50.6,31.6,187.5,87.1,2.61,1.63,0.87,1.79,1.79,35.1,6.03,Matches
161,Lukasz Fabianski,pl POL,GK,West Ham,39-309,1985,11.9,41,32.1,40.6,0.42,0,0,41,0.17,0.17,100,0,0,21.7,115.2,71,0,0,0,0,0,19.1,0,Matches
162,Wout Faes,be BEL,DF,Leicester City,26-324,1998,19.3,60.3,10.3,29.1,29.1,2.38,0.93,60.3,0.21,0.16,75,0.05,25,34.6,161.9,96.2,0.41,0.41,0.05,0.57,0.16,39.4,0.05,Matches
163,Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,20-350,2004,6.4,50.9,2.97,11.4,17.8,24.5,4.06,50.9,10.8,4.53,42,4.38,40.6,33.9,292,164.8,6.56,3.75,2.34,2.81,1.88,33.8,9.38,Matches
164,Joao Felix,pt POR,"FW,MF",Chelsea,25-103,1999,4.1,66.1,0.49,6.34,31.2,30.2,7.07,66.1,7.56,2.44,32.3,3.41,45.2,46.8,302.4,173.2,5.12,3.17,1.22,1.46,0.98,52.9,7.07,Matches
165,Evan Ferguson,ie IRL,FW,West Ham,20-125,2004,0.5,32,0,0,6,26,8,32,6,4,66.7,2,33.3,20,124,46,2,0,2,2,4,24,4,Matches
166,Evan Ferguson,ie IRL,FW,Brighton,20-125,2004,2.7,32.6,2.59,4.81,18.5,9.63,3.33,32.6,0.74,0.37,50,0.37,50,15.6,67.8,20.7,0.74,0.37,0.74,1.85,2.22,19.3,3.33,Matches
167,Bruno Fernandes,pt POR,MF,Manchester Utd,30-166,1994,22.4,76.5,1.7,11.5,36.6,29.2,2.72,76.3,1.88,0.71,38.1,0.94,50,44.6,210.2,111.2,2.32,1.83,0.36,1.29,1.12,55,4.55,Matches
168,Mateus Fernandes,pt POR,MF,Southampton,20-226,2004,20.3,55.9,2.22,11.9,27,18.1,1.87,55.9,3.79,1.72,45.5,1.72,45.5,27.9,180.9,97.5,2.76,2.17,0.39,1.63,1.08,34.3,3.3,Matches
169,Enzo Fernandez,ar ARG,MF,Chelsea,24-035,2001,19.8,72.9,1.16,11.8,37.6,23.8,2.47,72.9,1.52,0.81,53.3,0.45,30,38.9,163.1,75.7,1.36,1.36,0.15,0.86,1.06,53.3,3.43,Matches
170,Mark Flekken,nl NED,GK,Brentford,31-253,1993,23.4,52.3,40.9,50.8,1.67,0,0,52.3,0.04,0.04,100,0,0,32.4,161.5,89.1,0,0,0,0.09,0,29.9,0,Matches
171,Phil Foden,eng ENG,"MF,FW",Manchester City,24-269,2000,16,58.9,0.75,4.31,20.5,34.6,4.44,58.9,2.06,0.69,33.3,1.06,51.5,36.6,190.3,92.8,2.56,1.5,0.75,1.88,1.5,45.8,6.44,Matches
172,Wesley Fofana,fr FRA,DF,Chelsea,24-066,2000,11.3,72.7,6.73,30.2,39.9,3.81,0.8,72.7,1.15,0.62,53.8,0.27,23.1,44.4,237.3,119.7,1.24,0.88,0.09,1.33,0.35,51.4,0.35,Matches
173,Carlos Forbs,pt POR,"MF,FW",Wolves,20-339,2004,2.6,45,1.15,7.69,14.6,23.1,5,45,4.62,2.69,58.3,1.92,41.7,27.7,167.3,114.2,3.46,1.15,3.08,2.69,1.54,31.5,10.8,Matches
174,Fraser Forster,eng ENG,GK,Tottenham,36-341,1988,7,32.6,30.3,32.6,0,0,0,32.6,0.14,0.14,100,0,0,16.1,71.6,37.7,0,0,0,0.14,0,13.4,0,Matches
175,Ryan Fraser,sct SCO,"FW,DF",Southampton,30-363,1994,3.4,38.5,3.53,13.2,14.7,10.9,0.88,38.5,0.88,0.59,66.7,0.29,33.3,21.8,144.7,74.1,2.94,1.47,0.59,1.18,0.59,27.6,5.29,Matches
176,Niclas Fullkrug,de GER,FW,West Ham,32-012,1993,4.1,27.1,1.71,1.95,14.6,10.5,4.88,27.1,0.73,0,0,0.73,100,9.76,35.6,18,0.73,0.49,0.49,2.44,0.49,19,1.95,Matches
177,Cody Gakpo,nl NED,FW,Liverpool,25-290,1999,15.2,42.5,1.18,4.01,12.2,27.2,4.87,42.5,2.76,1.64,59.5,0.86,31,28.7,199.1,99,2.5,1.51,1.12,2.04,0.92,32.2,13.6,Matches
178,Idrissa Gana Gueye,sn SEN,MF,Everton,35-148,1989,21.4,52.8,2.2,12.9,30,10,0.65,52.8,1.17,0.56,48,0.56,48,24.7,115.6,49.1,0.75,0.79,0.14,0.98,1.26,30.6,0.75,Matches
179,Andres Garcia,es ESP,DF,Aston Villa,22-014,2003,2.2,75.5,2.27,12.3,30,33.6,0.45,75.5,5,1.82,36.4,2.73,54.5,47.7,377.3,212.3,8.64,4.55,0.45,2.73,1.36,49.1,7.27,Matches
180,Alejandro Garnacho,ar ARG,"FW,MF",Manchester Utd,20-235,2004,15.7,46.7,0.57,5.54,15.3,26.6,7.13,46.7,3.69,0.96,25.9,2.42,65.5,32.9,238,113.6,5.16,2.55,2.87,2.68,2.1,35.2,12.2,Matches
181,James Garner,eng ENG,"MF,DF",Everton,23-345,2001,5.8,50.3,3.1,14.5,25.2,11.4,1.03,50.3,1.03,0.52,50,0.52,50,22.1,83.4,26.6,0.34,0.69,0,1.38,0.52,23.4,1.38,Matches
182,Tyrique George,eng ENG,FW,Chelsea,19-017,2006,0.4,57.5,0,17.5,17.5,25,5,57.5,5,5,100,0,0,37.5,315,167.5,7.5,0,2.5,2.5,0,45,17.5,Matches
183,Morgan Gibbs-White,eng ENG,MF,Nott'ham Forest,25-025,2000,18.4,55.2,1.14,7.12,27.2,21.9,3.53,55.2,3.1,1.3,42.1,1.41,45.6,32,179.7,93.4,2.66,1.74,0.49,2.39,1.47,42.2,4.46,Matches
184,Billy Gilmour,sct SCO,MF,Brighton,23-255,2001,1.1,66.4,1.82,12.7,41.8,11.8,0,66.4,1.82,0.91,50,0.91,50,40,190.9,106.4,1.82,0,0,0,0,52.7,1.82,Matches
185,Ben Godfrey,eng ENG,DF,Ipswich Town,27-037,1998,0.7,70,2.86,27.1,34.3,8.57,1.43,70,0,0,,0,,41.4,242.9,75.7,1.43,2.86,0,2.86,1.43,48.6,0,Matches
186,Martial Godo,eng ENG,FW,Fulham,21-344,2003,0.2,55,0,5,20,30,15,55,10,0,0,10,100,40,240,90,0,0,0,0,0,30,15,Matches
187,Joao Gomes,br BRA,MF,Wolves,24-009,2001,21.5,58,2.28,13.6,31.8,13.2,0.98,58,1.49,0.7,46.9,0.56,37.5,29.8,176.7,86.3,1.67,1.44,0.19,1.07,1.53,37.6,2.19,Matches
188,Rodrigo Gomes,pt POR,"DF,FW",Wolves,21-229,2003,6.3,47.1,3.49,11.1,16.7,19.8,3.49,47.1,1.75,0.48,27.3,0.95,54.5,23.3,155.9,93,2.7,1.75,1.11,2.22,0.95,27.5,9.05,Matches
189,Toti Gomes,pt POR,DF,Wolves,26-036,1999,16,64.7,8.88,32.9,29.3,3.44,0.56,64.7,1.06,0.75,70.6,0.19,17.6,35.8,181.5,97.1,0.63,0.69,0,0.81,0.56,42.1,0.44,Matches
190,Diego Gómez,py PAR,MF,Brighton,21-331,2003,0.7,88.6,4.29,17.1,52.9,18.6,0,88.6,1.43,1.43,100,0,0,54.3,175.7,42.9,0,0,0,1.43,1.43,51.4,0,Matches
191,Joe Gomez,eng ENG,DF,Liverpool,27-274,1997,5.8,82.9,9.31,31.6,45.5,6.38,0.86,82.9,0,0,,0,,52.2,282.4,163.3,0.86,0.34,0.17,0.17,0.34,57.8,0.34,Matches
192,Nicolas Gonzalez,es ESP,MF,Manchester City,23-049,2002,1,112,2,20,74,19,0,112,0,0,,0,,65,224,89,1,2,0,3,0,93,3,Matches
193,Anthony Gordon,eng ENG,FW,Newcastle Utd,23-363,2001,21.4,47,0.7,4.86,17.3,25.6,5.28,46.9,4.02,1.54,38.4,1.73,43,30.8,227.4,123.5,4.58,2.38,2.34,1.26,1.36,33.4,8.36,Matches
194,Ryan Gravenberch,nl NED,MF,Liverpool,22-281,2002,24.7,66.8,3.32,13.8,39.4,14.5,0.73,66.8,1.98,0.97,49,0.69,34.7,40.3,212.7,110.5,2.02,2.19,0.24,1.38,0.61,47.7,1.58,Matches
195,Archie Gray,eng ENG,DF,Tottenham,18-346,2006,10.8,75.7,9.91,37.7,34.3,4.63,0.09,75.7,0.65,0.37,57.1,0.19,28.6,51.9,230.8,95.3,0.28,0.46,0,0.28,0.65,56.3,0.65,Matches
196,Jack Grealish,eng ENG,"FW,MF",Manchester City,29-164,1995,6.8,64.4,1.76,5,19.4,40.6,9.56,64.4,3.68,1.91,52,1.18,32,47.5,376.5,234,9.71,2.65,6.62,1.18,1.76,52.6,16.3,Matches
197,Jacob Greaves,eng ENG,DF,Ipswich Town,24-162,2000,15,56.1,12.6,32.1,21.7,2.4,0.87,56.1,0.13,0.07,50,0.07,50,25.4,96.1,36.7,0.13,0.07,0,0.4,0.13,34.9,0.27,Matches
198,Brajan Gruda,de GER,"FW,MF",Brighton,20-266,2004,4.1,46.8,0.98,6.34,15.6,25.1,5.37,46.8,4.15,1.46,35.3,1.71,41.2,28,197.1,97.3,3.41,3.9,1.95,1.46,3.9,30.5,9.51,Matches
199,Albert Gronbaek,dk DEN,MF,Southampton,23-274,2001,0.8,27.5,0,3.75,10,13.8,2.5,27.5,2.5,0,0,2.5,100,13.8,42.5,8.75,1.25,0,1.25,2.5,1.25,15,1.25,Matches
200,Gonçalo Guedes,pt POR,"MF,FW",Wolves,28-084,1996,8.2,42.7,0.49,4.76,18.8,20.6,3.05,42.7,2.44,0.61,25,1.34,55,25.4,187.6,92.9,3.41,2.07,0.49,4.02,1.59,28.4,6.59,Matches
201,Marc Guehi,eng ENG,DF,Crystal Palace,24-223,2000,24,64.6,10.3,34.1,27,3.92,0.96,64.6,0.54,0.46,84.6,0.08,15.4,34.4,173.5,89.4,0.5,0.54,0.04,0.54,0.42,40.2,0.29,Matches
202,Luis Guilherme,br BRA,"MF,FW",West Ham,19-012,2006,0.6,73.3,5,20,18.3,35,3.33,73.3,6.67,0,0,3.33,50,31.7,253.3,121.7,1.67,3.33,1.67,1.67,0,43.3,10,Matches
203,Bruno Guimaraes,br BRA,MF,Newcastle Utd,27-097,1997,24,61.5,2.38,13.7,32,16.5,1.63,61.5,2.42,1,41.4,0.75,31,41.4,227.2,96.5,1.33,1.17,0.21,1.54,2.63,46.1,2.42,Matches
204,Marc Guiu,es ESP,FW,Chelsea,19-048,2006,0.8,27.5,0,2.5,10,15,3.75,27.5,1.25,0,0,1.25,100,15,37.5,10,0,0,0,2.5,0,15,3.75,Matches
205,Ilkay Gundogan,de GER,MF,Manchester City,34-120,1990,15.9,80,2.01,12.6,38.6,29.9,2.7,80,1.51,0.82,54.2,0.38,25,47.5,267.7,125.3,2.39,2.45,0.44,1.13,0.94,63.5,3.71,Matches
206,Malo Gusto,fr FRA,DF,Chelsea,21-278,2003,15.2,78,2.43,19.1,37.8,21.6,2.24,78,0.66,0.2,30,0.46,70,42,206.4,104.3,2.24,1.84,0.2,0.53,0.72,52.1,4.41,Matches
207,Josko Gvardiol,hr CRO,DF,Manchester City,23-029,2002,23.4,84.3,3.55,19.8,38.3,26.9,3.12,84.3,1.41,0.85,60.6,0.47,33.3,53.4,276.1,153.8,2.44,3.16,0.51,0.73,0.56,61.5,3.72,Matches
208,Erling Haaland,no NOR,FW,Manchester City,24-215,2000,24.6,20.9,0.81,1.38,6.71,12.9,6.42,20.8,1.1,0.41,37,0.61,55.6,9.88,49.1,18,0.69,0.53,0.69,1.5,0.81,15.8,3.98,Matches
209,Lewis Hall,eng ENG,DF,Newcastle Utd,20-166,2004,22.3,74.9,3.68,25.7,32.6,17.4,2.02,74.9,0.72,0.36,50,0.27,37.5,40.2,184.6,99.8,1.66,0.99,0.49,1.35,0.81,45.6,3.23,Matches
210,Ali Al Hamadi,iq IRQ,FW,Ipswich Town,22-357,2002,1.5,35.3,1.33,4,13.3,20,6,35.3,4.67,2.67,57.1,2,42.9,19.3,124.7,74,2.67,2,2.67,4.67,2.67,24,9.33,Matches
211,Marcus Harness,eng ENG,MF,Ipswich Town,28-363,1996,0.5,44,8,14,4,26,6,44,2,0,0,2,100,18,98,28,0,0,0,0,0,18,2,Matches
212,Jack Harrison,eng ENG,FW,Everton,28-093,1996,12.8,40.5,1.48,7.42,14.3,19.1,3.36,40.5,4.06,1.25,30.8,2.34,57.7,23.5,122.5,60.7,2.27,1.09,0.78,2.66,2.34,27.3,5.39,Matches
213,Taylor Harwood-Bellis,eng ENG,DF,Southampton,23-022,2002,21.1,84.1,11.4,39.3,39,6.21,1.33,84.1,0.14,0.14,100,0,0,47.5,211.7,122.1,0.9,1.09,0,0.47,0.24,61.5,0.33,Matches
214,Kai Havertz,de GER,"FW,MF",Arsenal,25-255,1999,20.4,37.6,1.52,4.31,13.8,19.8,5.05,37.6,1.86,0.44,23.7,1.18,63.2,20.1,95.9,45.2,1.67,1.13,0.88,2.06,1.08,28.2,5.39,Matches
215,Jan Paul van Hecke,nl NED,DF,Brighton,24-258,2000,21.9,81.8,8.13,34.7,42.1,5.66,0.96,81.8,0.37,0.14,37.5,0.18,50,55.3,339.8,231.8,1.78,1.69,0,0.41,0.23,58.4,0.23,Matches
216,Hwang Hee-chan,kr KOR,"MF,FW",Wolves,29-026,1996,6.9,35.9,1.3,5.65,13.8,16.8,3.19,35.9,1.59,0.14,9.1,1.45,90.9,20.4,129.4,60,2.03,0.72,1.01,1.74,1.01,23.3,5.51,Matches
217,Dean Henderson,eng ENG,GK,Crystal Palace,27-346,1997,25,34.9,28.1,34.8,0.08,0.04,0.04,34.9,0,0,,0,,20.1,120,53.6,0,0,0,0.08,0,15.6,0,Matches
218,Rico Henry,eng ENG,DF,Brentford,27-228,1997,0,6,0,4,1,1,0,6,0,0,,0,,2,5,0,0,0,0,0,0,2,1,Matches
219,Mads Hermansen,dk DEN,GK,Leicester City,24-225,2000,17.5,42.2,31.1,40.5,1.83,0,0,42.2,0.06,0.06,100,0,0,27,132.7,69.3,0,0,0,0,0,22.1,0,Matches
220,Son Heung-min,kr KOR,FW,Tottenham,32-228,1992,18.6,48.8,0.65,4.78,15.4,29,5.11,48.7,3.55,1.45,40.9,1.72,48.5,32.1,194.2,100,3.82,2.15,1.67,1.24,1.18,37.5,11.2,Matches
221,James Hill,eng ENG,"DF,MF",Bournemouth,23-042,2002,2,58,3.5,14.5,30,13.5,0,58,1,0.5,50,0.5,50,26.5,70,37.5,0,1,0,1,0,29.5,2.5,Matches
222,Jack Hinshelwood,eng ENG,"MF,DF",Brighton,19-316,2005,10.8,61,2.87,18.1,29.4,14,1.2,61,0.65,0.09,14.3,0.56,85.7,29.1,123.6,61.4,0.93,0.65,0.09,1.11,0.09,39.5,2.59,Matches
223,George Hirst,eng ENG,FW,Ipswich Town,26-006,1999,2.6,32.3,1.92,5.38,10,17.3,4.62,32.3,0.38,0,0,0.38,100,17.3,84.6,25.4,1.15,0.38,1.15,5,2.69,27.3,6.54,Matches
224,Mason Holgate,eng ENG,"FW,DF",Everton,28-122,1996,0.1,30,0,0,20,10,0,30,0,0,,0,,10,0,0,0,0,0,10,0,10,0,Matches
225,Callum Hudson-Odoi,eng ENG,"FW,MF",Nott'ham Forest,24-106,2000,17.2,43.6,0.58,4.42,13.8,26.4,3.08,43.6,2.67,1.57,58.7,0.76,28.3,27.4,223.4,146.1,5.52,2.67,1.86,1.92,1.1,33.5,8.14,Matches
226,Will Hughes,eng ENG,MF,Crystal Palace,29-310,1995,16.6,53,1.75,11.4,28,14.2,0.72,53,0.6,0.18,30,0.3,50,24.2,129.9,58.9,1.02,1.14,0.06,0.96,1.27,30.4,1.45,Matches
227,Dean Huijsen,es ESP,DF,Bournemouth,19-313,2005,14.8,70,9.32,33,33.5,4.05,1.28,70,0.27,0.14,50,0.14,50,38.5,224.7,141.5,1.55,0.61,0,0.61,0,42.5,0.2,Matches
228,Omari Hutchinson,eng ENG,"MF,FW",Ipswich Town,21-114,2003,21.7,41.6,0.55,7.1,17.5,17.8,3,41.6,4.79,1.94,40.4,2.21,46.2,25.2,192.9,90.8,2.76,1.43,1.2,2.76,2.26,29.1,4.88,Matches
229,Rasmus Hojlund,dk DEN,FW,Manchester Utd,22-017,2003,13.3,24.1,0.3,1.28,12,11.1,2.86,24.1,1.65,0.45,27.3,1.05,63.6,14.9,73.5,30.7,1.43,0.75,0.68,3.61,1.43,19.2,4.59,Matches
