Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
141,Lewis Dunk,eng ENG,DF,Brighton,33-092,1991,17.4,0.86,0.46,0.4,0.34,0.11,0.52,0.8,64.3,0.29,1.15,0.8,0.34,0.57,1.44,3.28,0,Matches
142,Jader Duran,co COL,FW,Aston Villa,21-070,2003,7.1,1.13,0.99,0.14,0.28,0.7,0.14,0.56,25,0.42,0.7,0,0.7,0,1.13,1.83,0,Matches
143,Ederson,br BRA,GK,Manchester City,31-188,1993,16,0,0,0,0,0,0,0.13,0,0.13,0,0,0,0.06,0.06,0.31,0.06,Matches
144,George Edmundson,eng ENG,DF,Ipswich Town,27-174,1997,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
145,Odsonne Edouard,fr FRA,"MF,FW",Crystal Palace,27-036,1998,1.3,0.77,0,0,0.77,0,0,1.54,0,1.54,0.77,0,0.77,0,0.77,0.77,0,Matches
146,Odsonne Edouard,fr FRA,FW,Leicester City,27-036,1998,0.3,3.33,3.33,3.33,0,0,0,0,,0,0,0,0,0,3.33,3.33,0,Matches
147,Samuel Edozie,eng ENG,"DF,FW",Southampton,22-024,2003,0.7,4.29,1.43,0,1.43,2.86,2.86,2.86,100,0,0,0,0,0,4.29,0,0,Matches
148,Ronnie Edwards,eng ENG,DF,Southampton,21-330,2003,0.1,0,0,0,0,0,0,0,,0,10,10,0,0,0,0,0,Matches
149,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,22-300,2002,17.2,0.7,0.47,0.29,0.29,0.12,0.17,0.52,33.3,0.35,0.35,0,0.35,0.29,0.99,1.28,0,Matches
150,Harvey Elliott,eng ENG,"MF,FW",Liverpool,21-323,2003,0.9,3.33,2.22,2.22,1.11,0,0,1.11,0,1.11,1.11,0,1.11,0,3.33,1.11,0,Matches
151,Yunus Emre Konak,tr TUR,"MF,FW",Brentford,19-042,2006,0.2,5,5,0,5,0,0,5,0,5,0,0,0,0,5,0,0,Matches
152,Julio Enciso,py PAR,"MF,FW",Ipswich Town,21-029,2004,1.3,1.54,0.77,0,0,1.54,0.77,0.77,100,0,0,0,0,0.77,2.31,0,0,Matches
153,Julio Enciso,py PAR,"MF,FW",Brighton,21-029,2004,3.3,0,0,0,0,0,0,0.61,0,0.61,0.61,0,0.61,0,0,0.3,0,Matches
154,Wataru Endo,jp JPN,MF,Liverpool,32-012,1993,1.2,4.17,2.5,1.67,2.5,0,3.33,4.17,80,0.83,1.67,0,1.67,1.67,5.83,1.67,0,Matches
155,Christian Eriksen,dk DEN,MF,Manchester Utd,33-007,1992,7.1,1.69,0.7,0.42,0.99,0.28,0.99,1.69,58.3,0.7,0.99,0.28,0.7,0.85,2.54,0.85,0,Matches
156,Romain Esse,eng ENG,MF,Crystal Palace,19-284,2005,0.1,10,10,10,0,0,10,10,100,0,0,0,0,0,10,0,0,Matches
157,Pervis Estupinan,ec ECU,DF,Brighton,27-031,1998,15.7,2.48,1.72,1.27,0.83,0.38,1.08,1.66,65.4,0.57,0.57,0.13,0.45,1.15,3.63,2.36,0,Matches
158,Evanilson,br BRA,FW,Bournemouth,25-138,1999,15.2,0.59,0.26,0.13,0.26,0.2,0.2,0.46,42.9,0.26,0.46,0.07,0.39,0,0.59,0.72,0,Matches
159,Jonny Evans,nir NIR,DF,Manchester Utd,37-049,1988,3.2,2.19,1.56,1.25,0.94,0,0.63,1.25,50,0.63,0.63,0.31,0.31,1.25,3.44,4.06,0,Matches
160,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,26-237,1998,18.4,1.58,0.92,0.6,0.65,0.33,0.82,1.63,50,0.82,1.2,0,1.2,0.38,1.96,0.33,0.05,Matches
161,Lukasz Fabianski,pl POL,GK,West Ham,39-309,1985,11.9,0,0,0,0,0,0,0.08,0,0.08,0,0,0,0,0,0.42,0.08,Matches
162,Wout Faes,be BEL,DF,Leicester City,26-324,1998,19.3,1.45,0.93,0.93,0.41,0.1,0.67,1.5,44.8,0.83,1.76,1.19,0.57,0.88,2.33,5.75,0.16,Matches
163,Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,20-350,2004,6.4,3.28,2.34,2.03,0.31,0.94,1.72,2.97,57.9,1.25,1.09,0,1.09,0.63,3.91,1.88,0,Matches
164,Joao Felix,pt POR,"FW,MF",Chelsea,25-103,1999,4.1,1.95,0.73,0.49,1.22,0.24,1.22,2.2,55.6,0.98,0.49,0,0.49,0.73,2.68,0.49,0,Matches
165,Evan Ferguson,ie IRL,FW,West Ham,20-125,2004,0.5,2,0,0,0,2,0,0,,0,0,0,0,0,2,0,0,Matches
166,Evan Ferguson,ie IRL,FW,Brighton,20-125,2004,2.7,1.48,1.11,0,1.11,0.37,0.74,1.85,40,1.11,1.11,0.37,0.74,0,1.48,1.48,0,Matches
167,Bruno Fernandes,pt POR,MF,Manchester Utd,30-166,1994,22.4,2.32,1.34,0.54,1.29,0.49,0.85,2.32,36.5,1.47,0.98,0.09,0.89,0.85,3.17,1.16,0.09,Matches
168,Mateus Fernandes,pt POR,MF,Southampton,20-226,2004,20.3,2.96,1.63,1.53,0.89,0.54,0.99,2.22,44.4,1.23,1.43,0.15,1.28,0.64,3.6,1.13,0.2,Matches
169,Enzo Fernandez,ar ARG,MF,Chelsea,24-035,2001,19.8,2.53,1.21,0.56,1.21,0.76,1.26,3.08,41,1.82,1.21,0.15,1.06,0.51,3.03,0.76,0.15,Matches
170,Mark Flekken,nl NED,GK,Brentford,31-253,1993,23.4,0.09,0.09,0.09,0,0,0.04,0.26,16.7,0.21,0.04,0,0.04,0,0.09,0.9,0.13,Matches
171,Phil Foden,eng ENG,"MF,FW",Manchester City,24-269,2000,16,0.56,0.19,0.19,0.19,0.19,0.38,1,37.5,0.63,0.56,0.06,0.5,0.56,1.13,0.44,0.06,Matches
172,Wesley Fofana,fr FRA,DF,Chelsea,24-066,2000,11.3,1.15,1.06,0.53,0.62,0,0.53,1.24,42.9,0.71,1.24,0.8,0.44,1.06,2.21,4.34,0.18,Matches
173,Carlos Forbs,pt POR,"MF,FW",Wolves,20-339,2004,2.6,3.08,1.92,1.92,0.77,0.38,1.54,1.92,80,0.38,1.15,0,1.15,0.38,3.46,0.77,0.38,Matches
174,Fraser Forster,eng ENG,GK,Tottenham,36-341,1988,7,0,0,0,0,0,0,0.14,0,0.14,0,0,0,0,0,1,0.43,Matches
175,Ryan Fraser,sct SCO,"FW,DF",Southampton,30-363,1994,3.4,1.76,0.59,0.59,1.18,0,1.18,1.76,66.7,0.59,0.29,0.29,0,0.29,2.06,2.65,0,Matches
176,Niclas Fullkrug,de GER,FW,West Ham,32-012,1993,4.1,0.49,0.49,0,0.24,0.24,0.49,0.73,66.7,0.24,0,0,0,0,0.49,1.22,0,Matches
177,Cody Gakpo,nl NED,FW,Liverpool,25-290,1999,15.2,1.45,0.79,0.33,0.59,0.53,0.72,1.32,55,0.59,1.12,0.13,0.99,0.46,1.91,0.92,0.07,Matches
178,Idrissa Gana Gueye,sn SEN,MF,Everton,35-148,1989,21.4,3.93,2.29,1.87,1.59,0.47,1.68,2.85,59,1.17,1.4,0.23,1.17,1.36,5.28,0.79,0,Matches
179,Andres Garcia,es ESP,DF,Aston Villa,22-014,2003,2.2,2.73,1.82,2.27,0.45,0,1.36,2.27,60,0.91,0.45,0,0.45,0,2.73,2.73,0.91,Matches
180,Alejandro Garnacho,ar ARG,"FW,MF",Manchester Utd,20-235,2004,15.7,1.08,0.76,0.45,0.25,0.38,0.32,1.15,27.8,0.83,0.96,0,0.96,0.64,1.72,0.57,0.13,Matches
181,James Garner,eng ENG,"MF,DF",Everton,23-345,2001,5.8,2.76,1.55,1.72,0.86,0.17,1.72,2.93,58.8,1.21,1.03,0.52,0.52,1.03,3.79,2.76,0,Matches
182,Tyrique George,eng ENG,FW,Chelsea,19-017,2006,0.4,5,0,5,0,0,5,7.5,66.7,2.5,0,0,0,0,5,0,0,Matches
183,Morgan Gibbs-White,eng ENG,MF,Nott'ham Forest,25-025,2000,18.4,1.58,0.71,0.65,0.71,0.22,0.54,0.87,62.5,0.33,0.43,0.16,0.27,0.71,2.28,0.82,0,Matches
184,Billy Gilmour,sct SCO,MF,Brighton,23-255,2001,1.1,2.73,2.73,1.82,0.91,0,2.73,3.64,75,0.91,0.91,0,0.91,0,2.73,0.91,0,Matches
185,Ben Godfrey,eng ENG,DF,Ipswich Town,27-037,1998,0.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,1.43,0,Matches
186,Martial Godo,eng ENG,FW,Fulham,21-344,2003,0.2,0,0,0,0,0,0,0,,0,5,0,5,5,5,0,0,Matches
187,Joao Gomes,br BRA,MF,Wolves,24-009,2001,21.5,3.4,1.86,1.72,1.53,0.14,1.3,3.44,37.8,2.14,1.4,0.09,1.3,0.88,4.28,1.21,0,Matches
188,Rodrigo Gomes,pt POR,"DF,FW",Wolves,21-229,2003,6.3,3.02,1.9,1.59,1.43,0,1.43,2.7,52.9,1.27,1.27,0.16,1.11,0.63,3.65,2.7,0.16,Matches
189,Toti Gomes,pt POR,DF,Wolves,26-036,1999,16,2.25,1.69,1.56,0.56,0.13,1.13,1.31,85.7,0.19,1,0.63,0.38,0.63,2.88,4.75,0.19,Matches
190,Diego Gómez,py PAR,MF,Brighton,21-331,2003,0.7,5.71,4.29,4.29,0,1.43,1.43,4.29,33.3,2.86,5.71,0,5.71,0,5.71,1.43,1.43,Matches
191,Joe Gomez,eng ENG,DF,Liverpool,27-274,1997,5.8,2.24,1.72,0.86,1.21,0.17,1.9,2.76,68.8,0.86,1.55,1.03,0.52,1.21,3.45,3.45,0.34,Matches
192,Nicolas Gonzalez,es ESP,MF,Manchester City,23-049,2002,1,3,0,1,2,0,1,1,100,0,2,0,2,1,4,0,0,Matches
193,Anthony Gordon,eng ENG,FW,Newcastle Utd,23-363,2001,21.4,1.17,0.7,0.37,0.65,0.14,0.42,1.36,31,0.93,1.12,0.09,1.03,0.28,1.45,0.42,0.09,Matches
194,Ryan Gravenberch,nl NED,MF,Liverpool,22-281,2002,24.7,1.9,0.97,0.65,0.89,0.36,0.97,1.66,58.5,0.69,1.05,0.24,0.81,1.86,3.77,1.66,0,Matches
195,Archie Gray,eng ENG,DF,Tottenham,18-346,2006,10.8,0.93,0.37,0.28,0.37,0.28,0.46,1.3,35.7,0.83,1.11,0.65,0.46,0.74,1.67,3.06,0.19,Matches
196,Jack Grealish,eng ENG,"FW,MF",Manchester City,29-164,1995,6.8,1.32,0.74,0.59,0.29,0.44,0.29,0.59,50,0.29,1.47,0.29,1.18,0.29,1.62,0.59,0.15,Matches
197,Jacob Greaves,eng ENG,DF,Ipswich Town,24-162,2000,15,1.53,0.73,0.6,0.87,0.07,0.73,1.13,64.7,0.4,1.27,0.93,0.33,1.07,2.6,5.8,0.13,Matches
198,Brajan Gruda,de GER,"FW,MF",Brighton,20-266,2004,4.1,2.2,0.98,0.49,1.22,0.49,1.46,2.68,54.5,1.22,1.71,0,1.71,0.49,2.68,0.73,0,Matches
199,Albert Gronbaek,dk DEN,MF,Southampton,23-274,2001,0.8,5,1.25,1.25,1.25,2.5,3.75,7.5,50,3.75,1.25,1.25,0,0,5,0,0,Matches
200,Gonçalo Guedes,pt POR,"MF,FW",Wolves,28-084,1996,8.2,1.71,0.49,0.24,0.61,0.85,0.37,1.71,21.4,1.34,1.1,0,1.1,0.61,2.32,0.37,0,Matches
201,Marc Guehi,eng ENG,DF,Crystal Palace,24-223,2000,24,1.67,0.92,1.13,0.46,0.08,0.92,1.33,68.8,0.42,1.83,0.79,1.04,0.63,2.29,4.79,0.04,Matches
202,Luis Guilherme,br BRA,"MF,FW",West Ham,19-012,2006,0.6,1.67,0,1.67,0,0,0,0,,0,10,0,10,3.33,5,1.67,0,Matches
203,Bruno Guimaraes,br BRA,MF,Newcastle Utd,27-097,1997,24,2.29,1.42,1.17,0.79,0.33,1.04,2.04,51,1,0.92,0.29,0.63,0.88,3.17,1.13,0.13,Matches
204,Marc Guiu,es ESP,FW,Chelsea,19-048,2006,0.8,1.25,1.25,0,1.25,0,1.25,1.25,100,0,0,0,0,0,1.25,0,0,Matches
205,Ilkay Gundogan,de GER,MF,Manchester City,34-120,1990,15.9,1.07,0.63,0.25,0.57,0.25,0.57,1.26,45,0.69,0.57,0,0.57,0.75,1.82,1.07,0,Matches
206,Malo Gusto,fr FRA,DF,Chelsea,21-278,2003,15.2,2.24,1.45,1.25,0.86,0.13,1.25,2.3,54.3,1.05,1.64,0.39,1.25,1.05,3.29,1.97,0.13,Matches
207,Josko Gvardiol,hr CRO,DF,Manchester City,23-029,2002,23.4,1.62,1.07,0.73,0.47,0.43,0.6,1.11,53.8,0.51,1.24,0.56,0.68,1.07,2.69,2.99,0.26,Matches
208,Erling Haaland,no NOR,FW,Manchester City,24-215,2000,24.6,0.28,0.16,0.08,0.08,0.12,0.04,0.2,20,0.16,0.37,0.04,0.33,0.16,0.45,0.85,0,Matches
209,Lewis Hall,eng ENG,DF,Newcastle Utd,20-166,2004,22.3,2.02,1.39,0.85,0.81,0.36,1.21,2.6,46.6,1.39,1.35,0.72,0.63,0.72,2.74,3.09,0.09,Matches
210,Ali Al Hamadi,iq IRQ,FW,Ipswich Town,22-357,2002,1.5,0.67,0,0,0,0.67,0,1.33,0,1.33,0,0,0,0,0.67,1.33,0,Matches
211,Marcus Harness,eng ENG,MF,Ipswich Town,28-363,1996,0.5,2,0,0,0,2,0,6,0,6,4,2,2,0,2,2,0,Matches
212,Jack Harrison,eng ENG,FW,Everton,28-093,1996,12.8,1.72,1.17,0.7,0.47,0.55,0.94,1.95,48,1.02,0.7,0,0.7,0.47,2.19,1.56,0.16,Matches
213,Taylor Harwood-Bellis,eng ENG,DF,Southampton,23-022,2002,21.1,1,0.66,0.47,0.38,0.14,0.66,1.09,60.9,0.43,2.32,1.42,0.9,1.18,2.18,4.31,0.28,Matches
214,Kai Havertz,de GER,"FW,MF",Arsenal,25-255,1999,20.4,0.78,0.44,0.15,0.29,0.34,0.2,0.74,26.7,0.54,1.08,0.2,0.88,0.29,1.08,1.52,0.05,Matches
215,Jan Paul van Hecke,nl NED,DF,Brighton,24-258,2000,21.9,1.42,0.91,0.78,0.59,0.05,0.68,1.37,50,0.68,1.23,0.68,0.55,0.87,2.28,3.74,0.09,Matches
216,Hwang Hee-chan,kr KOR,"MF,FW",Wolves,29-026,1996,6.9,0.87,0.58,0.29,0.14,0.43,0.29,0.87,33.3,0.58,1.3,0,1.3,0.29,1.16,1.59,0,Matches
217,Dean Henderson,eng ENG,GK,Crystal Palace,27-346,1997,25,0.08,0.04,0.08,0,0,0.08,0.16,50,0.08,0,0,0,0,0.08,0.64,0,Matches
218,Rico Henry,eng ENG,DF,Brentford,27-228,1997,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,Matches
219,Mads Hermansen,dk DEN,GK,Leicester City,24-225,2000,17.5,0.06,0.06,0.06,0,0,0.06,0.06,100,0,0.06,0,0.06,0,0.06,0.51,0.11,Matches
220,Son Heung-min,kr KOR,FW,Tottenham,32-228,1992,18.6,0.86,0.48,0.16,0.43,0.27,0.27,1.08,25,0.81,0.43,0,0.43,0.22,1.08,0.81,0.05,Matches
221,James Hill,eng ENG,"DF,MF",Bournemouth,23-042,2002,2,1.5,1,0.5,0.5,0.5,0,1.5,0,1.5,0.5,0,0.5,2,3.5,4.5,0,Matches
222,Jack Hinshelwood,eng ENG,"MF,DF",Brighton,19-316,2005,10.8,1.39,1.02,0.46,0.65,0.28,0.56,1.11,50,0.56,0.46,0.19,0.28,0.65,2.04,1.57,0.09,Matches
223,George Hirst,eng ENG,FW,Ipswich Town,26-006,1999,2.6,0.38,0.38,0.38,0,0,0,0.38,0,0.38,0,0,0,0.38,0.77,1.92,0,Matches
224,Mason Holgate,eng ENG,"FW,DF",Everton,28-122,1996,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
225,Callum Hudson-Odoi,eng ENG,"FW,MF",Nott'ham Forest,24-106,2000,17.2,0.87,0.58,0.29,0.35,0.23,0.41,0.7,58.3,0.29,0.35,0,0.35,0.7,1.57,0.29,0.06,Matches
226,Will Hughes,eng ENG,MF,Crystal Palace,29-310,1995,16.6,3.19,1.81,0.96,1.57,0.66,1.27,3.01,42,1.75,1.45,0.6,0.84,0.78,3.98,0.84,0.06,Matches
227,Dean Huijsen,es ESP,DF,Bournemouth,19-313,2005,14.8,1.55,1.22,0.68,0.81,0.07,0.68,1.08,62.5,0.41,1.76,1.35,0.41,2.09,3.65,6.01,0.14,Matches
228,Omari Hutchinson,eng ENG,"MF,FW",Ipswich Town,21-114,2003,21.7,1.24,0.46,0.55,0.41,0.28,0.55,1.94,28.6,1.38,0.97,0.05,0.92,0.41,1.66,0.6,0.05,Matches
229,Rasmus Hojlund,dk DEN,FW,Manchester Utd,22-017,2003,13.3,0.23,0.08,0,0.15,0.08,0,0.23,0,0.23,0.23,0,0.23,0.08,0.3,0.23,0,Matches
230,Igor,br BRA,DF,Brighton,27-014,1998,10,0.4,0.4,0.2,0.1,0.1,0.4,1,40,0.6,2.3,1.4,0.9,0.4,0.8,3.9,0.1,Matches
231,Danny Ings,eng ENG,"FW,MF",West Ham,32-213,1992,3.1,1.29,0.65,0.65,0.65,0,0.32,0.97,33.3,0.65,1.61,0,1.61,0.32,1.61,1.29,0,Matches
232,Tim Iroegbunam,eng ENG,MF,Everton,21-236,2003,4.6,4.57,2.39,2.17,1.3,1.09,2.17,3.48,62.5,1.3,1.74,0.43,1.3,1.96,6.52,1.52,0.22,Matches
233,Andy Irving,sct SCO,MF,West Ham,24-284,2000,1.8,3.89,2.22,1.67,1.67,0.56,0.56,2.78,20,2.22,2.78,0.56,2.22,0.56,4.44,2.78,0,Matches
234,Alexander Isak,se SWE,FW,Newcastle Utd,25-153,1999,21,0.48,0.14,0.05,0.14,0.29,0.24,0.52,45.5,0.29,0.67,0.05,0.62,0.1,0.57,0.57,0.05,Matches
235,Alex Iwobi,ng NGA,"FW,MF",Fulham,28-294,1996,23.4,1.24,0.73,0.47,0.6,0.17,0.47,0.9,52.4,0.43,0.64,0.04,0.6,0.34,1.58,1.03,0,Matches
236,Nicolas Jackson,sn SEN,FW,Chelsea,23-246,2001,19.3,0.88,0.52,0.21,0.26,0.41,0.1,0.36,28.6,0.26,0.62,0.1,0.52,0.1,0.98,0.78,0,Matches
237,Reece James,eng ENG,DF,Chelsea,25-075,1999,5.7,1.23,1.23,0.7,0.53,0,0.53,1.4,37.5,0.88,1.58,0.7,0.88,1.05,2.28,1.75,0.18,Matches
238,Vitaly Janelt,de GER,MF,Brentford,26-287,1998,19.9,1.51,0.9,0.6,0.55,0.35,0.9,1.51,60,0.6,1.26,0.35,0.9,0.95,2.46,2.21,0.05,Matches
239,Vitezslav Jaros,cz CZE,GK,Liverpool,23-213,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
240,Daniel Jebbison,eng ENG,"FW,MF",Bournemouth,21-192,2003,0.7,1.43,0,1.43,0,0,1.43,2.86,50,1.43,1.43,1.43,0,1.43,2.86,1.43,0,Matches
241,Mathias Jensen,dk DEN,MF,Brentford,29-051,1996,8,1.13,1,0.75,0.25,0.13,0.5,1.25,40,0.75,1.25,0.25,1,0.75,1.88,1.13,0.13,Matches
242,Gabriel Jesus,br BRA,FW,Arsenal,27-324,1997,6.8,1.47,0.88,0.59,0.44,0.44,0.59,1.32,44.4,0.74,1.47,0.15,1.32,0.59,2.06,1.18,0,Matches
243,Raul Jimenez,mx MEX,FW,Fulham,33-292,1991,17.7,1.07,0.62,0.17,0.62,0.28,0.17,0.68,25,0.51,0.79,0.23,0.56,0.51,1.58,0.62,0.17,Matches
244,Kim Jisoo,kr KOR,DF,Brentford,20-059,2004,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,6.67,0,Matches
245,Joao Pedro,br BRA,"FW,MF",Brighton,23-148,2001,15.1,0.66,0.4,0.2,0.33,0.13,0.13,0.53,25,0.4,0.46,0,0.46,0.4,1.06,0.53,0,Matches
246,Joelinton,br BRA,"MF,FW",Newcastle Utd,28-191,1996,21.3,2.21,1.27,0.85,0.99,0.38,0.89,1.69,52.8,0.8,1.5,0.28,1.22,0.94,3.15,1.88,0.05,Matches
247,Ben Johnson,eng ENG,"DF,FW",Ipswich Town,25-028,2000,10.2,2.84,1.76,1.76,0.78,0.29,1.57,3.33,47.1,1.76,1.18,0.39,0.78,1.08,3.92,3.04,0,Matches
248,Brennan Johnson,wls WAL,FW,Tottenham,23-274,2001,16.9,1.89,1.18,0.3,1.12,0.47,0.71,1.48,48,0.77,0.95,0.12,0.83,0.24,2.13,0.59,0,Matches
249,Sam Johnstone,eng ENG,GK,Wolves,31-333,1993,7,0,0,0,0,0,0,0.14,0,0.14,0,0,0,0,0,1,0,Matches
250,Curtis Jones,eng ENG,MF,Liverpool,24-022,2001,11.6,2.07,1.03,0.26,1.47,0.34,0.78,1.38,56.3,0.6,0.95,0.43,0.52,0.34,2.41,0.52,0.09,Matches
251,Jorginho,it ITA,MF,Arsenal,33-063,1991,5.3,1.89,0.57,0.19,1.32,0.38,1.13,2.83,40,1.7,0,0,0,0.94,2.83,0.38,0.38,Matches
252,Diogo Jota,pt POR,FW,Liverpool,28-079,1996,8.4,0.83,0.48,0,0.6,0.24,0.48,1.67,28.6,1.19,0.48,0,0.48,0.48,1.31,0.6,0,Matches
253,James Justin,eng ENG,DF,Leicester City,26-364,1998,22.4,1.79,1.12,0.98,0.63,0.18,0.98,1.83,53.7,0.85,1.38,0.36,1.03,1.47,3.26,4.42,0.09,Matches
254,Filip Jorgensen,dk DEN,GK,Chelsea,22-311,2002,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.5,Matches
255,Ferdi Kadioglu,tr TUR,"DF,MF",Brighton,25-137,1999,4.3,2.33,1.4,0.93,1.16,0.23,1.4,3.49,40,2.09,0.47,0.47,0,1.86,4.19,3.95,0,Matches
256,Daichi Kamada,jp JPN,MF,Crystal Palace,28-200,1996,10.4,2.98,1.44,0.96,1.73,0.29,0.77,2.5,30.8,1.73,1.25,0.29,0.96,1.25,4.23,0.77,0,Matches
257,Boubacar Kamara,fr FRA,"MF,DF",Aston Villa,25-090,1999,11.7,3.42,1.28,1.97,1.11,0.34,2.14,3.68,58.1,1.54,1.03,0.43,0.6,1.11,4.53,2.74,0.26,Matches
258,Michael Kayode,it ITA,DF,Brentford,20-226,2004,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
259,Michael Keane,eng ENG,DF,Everton,32-041,1993,9,1.11,0.78,0.78,0.22,0.11,0.78,1.11,70,0.33,1,0.67,0.33,1.11,2.22,5.56,0,Matches
260,Caoimhin Kelleher,ie IRL,GK,Liverpool,26-090,1998,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.25,Matches
261,Lloyd Kelly,eng ENG,DF,Newcastle Utd,26-138,1998,3.4,1.47,1.18,1.18,0.29,0,0.29,0.29,100,0,1.76,1.18,0.59,0.29,1.76,5,0,Matches
262,Milos Kerkez,hu HUN,DF,Bournemouth,21-106,2003,24.2,1.36,0.74,0.66,0.58,0.12,0.66,1.16,57.1,0.5,0.95,0.33,0.62,1.24,2.6,2.98,0.04,Matches
263,Bilal El Khannouss,ma MAR,MF,Leicester City,20-287,2004,13.2,2.42,1.29,0.68,1.36,0.38,0.61,0.98,61.5,0.38,1.06,0.23,0.83,0.3,2.73,0.3,0.08,Matches
264,Abdukodir Khusanov,uz UZB,DF,Manchester City,20-358,2004,1.6,0.63,0.63,0,0.63,0,0,0,,0,0.63,0.63,0,0,0.63,3.75,0.63,Matches
265,Max Kilman,eng ENG,DF,West Ham,27-274,1997,24.2,0.91,0.45,0.37,0.41,0.12,0.62,0.79,78.9,0.17,1.69,1.16,0.54,1.16,2.07,5.29,0.17,Matches
266,Joshua King,eng ENG,"MF,FW",Fulham,18-049,2007,0.9,5.56,3.33,2.22,3.33,0,0,2.22,0,2.22,2.22,0,2.22,1.11,6.67,1.11,0,Matches
267,Antonin Kinsky,cz CZE,GK,Tottenham,21-345,2003,4,0.75,0.25,0.75,0,0,0.25,0.25,100,0,0,0,0,0,0.75,1.25,0.25,Matches
268,Jakub Kiwior,pl POL,DF,Arsenal,25-006,2000,3.6,1.11,0.56,0.83,0.28,0,0.83,1.39,60,0.56,1.39,0.56,0.83,0.28,1.39,4.44,0.28,Matches
269,Justin Kluivert,nl NED,"MF,FW",Bournemouth,25-292,1999,17.8,1.01,0.45,0.22,0.51,0.28,0.22,0.79,28.6,0.56,1.01,0,1.01,0.62,1.63,1.12,0.06,Matches
270,Ibrahima Konaté,fr FRA,DF,Liverpool,25-272,1999,18,1.56,1.11,1.17,0.33,0.06,1.06,1.44,73.1,0.39,1.11,0.61,0.5,0.5,2.06,4.89,0.06,Matches
271,Ezri Konsa,eng ENG,DF,Aston Villa,27-121,1997,21.1,1.33,0.76,0.81,0.33,0.19,0.76,0.95,80,0.19,0.57,0.28,0.28,0.76,2.09,3.36,0.09,Matches
272,Mateo Kovacic,hr CRO,MF,Manchester City,30-291,1994,17.2,2.67,1.57,0.76,1.51,0.41,1.28,2.79,45.8,1.51,0.87,0,0.87,0.87,3.55,0.93,0,Matches
273,Caleb Kporha,eng ENG,DF,Crystal Palace,18-221,2006,0.1,20,10,20,0,0,20,20,100,0,0,0,0,0,20,10,0,Matches
274,Emil Krafth,se SWE,DF,Newcastle Utd,30-203,1994,2.7,0.74,0.37,0,0.37,0.37,0.37,0.74,50,0.37,1.85,1.48,0.37,0.74,1.48,3.7,0,Matches
275,Mohammed Kudus,gh GHA,"MF,FW",West Ham,24-203,2000,18.4,1.58,1.03,0.33,0.76,0.49,0.43,1.25,34.8,0.82,1.14,0.05,1.09,0.16,1.74,0.22,0.05,Matches
276,Dejan Kulusevski,se SWE,"MF,FW",Tottenham,24-302,2000,22.7,1.54,0.84,0.48,0.44,0.62,0.62,1.81,34.1,1.19,1.06,0.13,0.93,0.44,1.98,0.35,0.04,Matches
277,Maxence Lacroix,fr FRA,DF,Crystal Palace,24-321,2000,21.9,2.05,1.23,1.51,0.5,0.05,1.1,1.64,66.7,0.55,1.28,0.41,0.87,1.92,3.97,5.8,0.05,Matches
278,Adam Lallana,eng ENG,MF,Southampton,36-287,1988,3.8,1.84,1.32,1.05,0.79,0,0.53,2.89,18.2,2.37,1.05,0.26,0.79,1.05,2.89,1.32,0,Matches
279,Tariq Lamptey,gh GHA,DF,Brighton,24-144,2000,6.8,1.47,1.03,0.88,0.59,0,0.74,2.65,27.8,1.91,1.47,0.44,1.03,0.59,2.06,2.79,0.15,Matches
280,Will Lankshear,eng ENG,"FW,MF",Tottenham,19-307,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
281,Romeo Lavia,be BEL,MF,Chelsea,21-046,2004,5.9,2.88,1.69,0.85,1.53,0.51,1.19,2.37,50,1.19,1.02,0,1.02,1.86,4.75,0.85,0,Matches
282,Mario Lemina,ga GAB,"MF,DF",Wolves,31-173,1993,15.2,3.36,2.04,1.78,1.25,0.33,1.32,1.91,69,0.59,0.79,0.46,0.33,1.78,5.13,3.29,0.2,Matches
283,Bernd Leno,de GER,GK,Fulham,32-354,1992,25,0.08,0.08,0.08,0,0,0.08,0.08,100,0,0.04,0,0.04,0,0.08,0.24,0.16,Matches
284,Jefferson Lerma,co COL,MF,Crystal Palace,30-119,1994,14.9,1.21,0.4,0.47,0.6,0.13,0.54,1.14,47.1,0.6,1.61,0.87,0.74,1.61,2.82,2.28,0.07,Matches
