Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
37,Yasin Ayari,se SWE,MF,Brighton,21-138,2003,14.2,3.03,3.04,1.55,0.7,0.21,0.21,0.21,0.14,0.28,0.28,0.21,0.07,0,0,0,0,Matches
38,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,33-163,1991,0.2,5,4.29,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
39,Jordan Ayew,gh GHA,"FW,MF",Leicester City,33-163,1991,13.8,1.88,1.88,1.16,0.43,0.07,0.14,0,0.07,0.07,0.07,0.07,0,0,0,0,0,Matches
40,Benoit Badiashile,fr FRA,DF,Chelsea,23-332,2001,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
41,Leon Bailey,jm JAM,"FW,MF",Aston Villa,27-196,1997,11.5,3.13,3.14,2,0.09,0.52,0.26,0.26,0,0.35,0.35,0.35,0,0,0,0,0,Matches
42,Carlos Baleba,cm CMR,MF,Brighton,21-049,2004,17.8,2.36,2.36,2.13,0,0.06,0.06,0,0.11,0.17,0.17,0.11,0,0,0,0,0.06,Matches
43,Ross Barkley,eng ENG,MF,Aston Villa,31-078,1993,6.2,2.58,2.6,2.1,0.16,0.32,0,0,0,0.48,0.49,0.48,0,0,0,0,0,Matches
44,Harvey Barnes,eng ENG,FW,Newcastle Utd,27-074,1997,8.7,3.56,3.55,2.3,0.11,0.34,0.34,0.46,0,0.46,0.46,0.23,0,0.11,0,0.11,0,Matches
45,Calvin Bassey,ng NGA,DF,Fulham,25-052,1999,24,0.58,0.58,0.42,0.04,0.08,0,0,0.04,0.08,0.08,0.04,0,0,0,0,0.04,Matches
46,Jan Bednarek,pl POL,DF,Southampton,28-315,1996,20.8,0.67,0.67,0.63,0,0,0.05,0,0,0,0,0,0,0,0,0,0,Matches
47,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-239,1998,11,3.18,3.18,1.91,0.09,0.27,0.27,0.45,0.18,0.45,0.45,0.36,0,0,0,0,0.09,Matches
48,Rodrigo Bentancur,uy URU,MF,Tottenham,27-241,1997,10.5,2.48,2.48,2,0,0.1,0.29,0,0.1,0.1,0.1,0.1,0,0,0,0,0,Matches
49,Sander Berge,no NOR,MF,Fulham,27-007,1998,14.6,1.99,1.98,1.78,0,0,0.07,0,0.14,0.07,0.07,0.07,0,0,0,0,0,Matches
50,Lucas Bergvall,se SWE,MF,Tottenham,19-019,2006,7.4,1.49,1.48,0.95,0.27,0,0.27,0,0,0.27,0.27,0.14,0,0,0.14,0,0,Matches
51,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,22-067,2002,21.5,1.58,1.58,1.21,0.23,0.05,0,0.09,0,0.14,0.14,0.14,0,0,0,0,0,Matches
52,Beto,gw GNB,FW,Everton,27-021,1998,6.5,1.54,1.54,0.92,0,0.31,0,0.31,0,0,0,0,0,0,0,0,0,Matches
53,Philip Billing,dk DEN,MF,Bournemouth,28-255,1996,2,8,7.83,6.5,0,0,0.5,0,1,0,0,0,0,0,0,0,0,Matches
54,Yves Bissouma,ml MLI,MF,Tottenham,28-175,1996,11.7,1.11,1.12,1.03,0,0,0,0,0.09,0,0,0,0,0,0,0,0,Matches
55,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,21-047,2004,3.9,2.56,2.54,2.05,0.26,0,0,0,0.26,0.26,0.25,0.26,0,0,0,0,0,Matches
56,Willy Boly,ci CIV,DF,Nott'ham Forest,34-018,1991,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
57,Sven Botman,nl NED,DF,Newcastle Utd,25-040,2000,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
58,Jarrod Bowen,eng ENG,"FW,MF",West Ham,28-063,1996,20.4,4.17,4.17,2.45,0.59,0.25,0.49,0.29,0.1,0.44,0.44,0.25,0.1,0.05,0.05,0,0,Matches
59,Conor Bradley,nir NIR,DF,Liverpool,21-227,2003,4.1,2.2,2.18,1.46,0,0.49,0,0.24,0,0.24,0.24,0.24,0,0,0,0,0,Matches
60,Jarrad Branthwaite,eng ENG,DF,Everton,22-239,2002,16.1,0.75,0.75,0.62,0.06,0,0,0.06,0,0.12,0.12,0.06,0.06,0,0,0,0,Matches
61,James Bree,eng ENG,DF,Southampton,27-133,1997,8.4,1.67,1.67,1.31,0.24,0,0.12,0,0,0.12,0.12,0.12,0,0,0,0,0,Matches
62,Ben Brereton,cl CHI,FW,Southampton,25-309,1999,5,1.8,1.8,1.4,0,0,0,0.4,0,0,0,0,0,0,0,0,0,Matches
63,Nathan Broadhead,wls WAL,"FW,MF",Ipswich Town,26-322,1998,4.2,2.86,2.85,2.38,0,0.48,0,0,0,0.24,0.24,0.24,0,0,0,0,0,Matches
64,Armando Broja,al ALB,FW,Everton,23-164,2001,1.8,2.22,2.26,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
65,David Brooks,wls WAL,FW,Bournemouth,27-228,1997,7.1,3.66,3.67,2.96,0.28,0.28,0.14,0,0,0.14,0.14,0,0,0,0.14,0,0,Matches
66,Emi Buendia,ar ARG,"MF,FW",Aston Villa,28-058,1996,1.1,2.73,2.76,1.82,0,0,0.91,0,0,0,0,0,0,0,0,0,0,Matches
67,Santiago Bueno,uy URU,DF,Wolves,26-104,1998,15.2,0.72,0.73,0.59,0.07,0,0,0,0.07,0.26,0.26,0.2,0,0,0,0,0.07,Matches
68,Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,20-060,2004,12.8,3.44,3.44,1.88,0.78,0.63,0.08,0.08,0,0.31,0.31,0.08,0.16,0.08,0,0,0,Matches
69,Cameron Burgess,au AUS,DF,Ipswich Town,29-123,1995,10,0.6,0.6,0.6,0,0,0,0,0,0.2,0.2,0.2,0,0,0,0,0,Matches
70,Dan Burn,eng ENG,DF,Newcastle Utd,32-288,1992,24,0.54,0.54,0.38,0.04,0,0.08,0.04,0,0.13,0.12,0.08,0.04,0,0,0,0,Matches
71,Wes Burns,wls WAL,"FW,DF",Ipswich Town,30-090,1994,10.3,1.55,1.55,1.17,0,0.1,0.1,0.19,0,0.1,0.1,0.1,0,0,0,0,0,Matches
72,Moises Caicedo,ec ECU,MF,Chelsea,23-111,2001,24.3,2.8,2.8,2.47,0,0,0,0.08,0.25,0.25,0.25,0.21,0,0,0,0.04,0,Matches
73,Tom Cairney,sct SCO,MF,Fulham,34-032,1991,4.4,5.23,5.19,4.77,0.23,0,0,0.23,0,0.45,0.45,0.45,0,0,0,0,0,Matches
74,Jens Cajuste,se SWE,MF,Ipswich Town,25-195,1999,12.5,1.2,1.2,0.96,0.08,0.16,0,0,0,0,0,0,0,0,0,0,0,Matches
75,Riccardo Calafiori,it ITA,DF,Arsenal,22-278,2002,8.5,1.06,1.05,0.94,0,0,0.12,0,0,0.24,0.23,0.24,0,0,0,0,0,Matches
76,Dominic Calvert-Lewin,eng ENG,FW,Everton,27-342,1997,17.5,1.43,1.43,0.8,0,0.23,0.11,0.17,0.11,0.23,0.23,0.06,0,0.11,0,0.06,0,Matches
77,Diego Carlos,br BRA,DF,Aston Villa,31-343,1993,9.2,0.43,0.43,0.33,0,0,0.11,0,0,0,0,0,0,0,0,0,0,Matches
78,Fabio Carvalho,pt POR,"FW,MF",Brentford,22-175,2002,4.8,1.88,1.85,1.25,0,0.21,0.42,0,0,0.21,0.21,0.21,0,0,0,0,0,Matches
79,Casemiro,br BRA,MF,Manchester Utd,32-364,1992,10.3,4.37,4.38,4.08,0.1,0,0.19,0,0,0.29,0.29,0.29,0,0,0,0,0,Matches
80,Kaelan Casey,eng ENG,DF,West Ham,20-116,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
81,Matty Cash,pl POL,DF,Aston Villa,27-198,1997,14.2,1.06,1.05,0.99,0,0.07,0,0,0,0.07,0.07,0.07,0,0,0,0,0,Matches
82,Timothy Castagne,be BEL,DF,Fulham,29-078,1995,11,1.45,1.45,1.09,0,0.09,0.18,0.09,0,0.09,0.09,0,0,0,0.09,0,0,Matches
83,Trevoh Chalobah,eng ENG,DF,Crystal Palace,25-231,1999,11.8,0.93,0.93,0.85,0,0.08,0,0,0,0,0,0,0,0,0,0,0,Matches
84,Trevoh Chalobah,eng ENG,DF,Chelsea,25-231,1999,3,1,1,0.33,0,0,0.67,0,0,0.33,0.33,0,0,0,0.33,0,0,Matches
85,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,28-005,1997,6.8,2.65,2.65,2.5,0.15,0,0,0,0,0.15,0.15,0.15,0,0,0,0,0,Matches
86,Federico Chiesa,it ITA,FW,Liverpool,27-119,1997,0.3,10,9.64,10,0,0,0,0,0,3.33,3.21,3.33,0,0,0,0,0,Matches
87,Ben Chilwell,eng ENG,DF,Crystal Palace,28-062,1996,0.3,3.33,2.9,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,Matches
88,Chiquinho,pt POR,MF,Wolves,25-016,2000,0.1,20,25.71,20,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
89,Hamza Choudhury,eng ENG,"MF,DF",Leicester City,27-143,1997,1.5,2,2.05,1.33,0,0.67,0,0,0,0,0,0,0,0,0,0,0,Matches
90,Ryan Christie,sct SCO,MF,Bournemouth,29-365,1995,20.4,3.58,3.57,2.94,0.34,0,0.15,0.1,0.05,0.39,0.39,0.34,0.05,0,0,0,0,Matches
91,Harry Clarke,eng ENG,DF,Ipswich Town,23-356,2001,4.2,0.24,0.24,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
92,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,24-090,2000,7.1,2.82,2.83,2.39,0.14,0.28,0,0,0,0.28,0.28,0.14,0.14,0,0,0,0,Matches
93,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,33-322,1991,4.4,0.45,0.45,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
94,Conor Coady,eng ENG,DF,Leicester City,31-362,1993,8,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
