Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
36,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,27-193,1997,2.9,0,0,0,2.41,2.41,0.34,0.34,0,0.69,0,0,0,4.48,2.76,8.62,24.2,Matches
37,Yasin Ayari,se SWE,MF,Brighton,21-138,2003,14.2,0.21,0,0,1.83,1.27,0.21,3.52,1.06,1.48,0,0,0,6.06,0.49,0.99,33.3,Matches
38,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,33-163,1991,0.2,5,0,0,5,0,0,5,0,0,0,0,0,5,5,5,50,Matches
39,Jordan Ayew,gh GHA,"FW,MF",Leicester City,33-163,1991,13.8,0.36,0,0,1.96,2.97,0.29,2.83,0.87,0.87,0,0,0,5.58,2.32,3.7,38.6,Matches
40,Benoit Badiashile,fr FRA,DF,Chelsea,23-332,2001,2.8,0,0,0,2.14,0.71,0,0,2.14,1.43,0,0,0,5.36,2.14,0.36,85.7,Matches
41,Leon Bailey,jm JAM,"FW,MF",Aston Villa,27-196,1997,11.5,0.17,0,0,0.87,1.57,0.26,2.87,0.26,0.35,0.09,0,0,4.35,0.52,0.7,42.9,Matches
42,Carlos Baleba,cm CMR,MF,Brighton,21-049,2004,17.8,0.39,0.06,0.06,1.63,1.63,0,0.22,1.91,1.63,0,0.11,0,6.69,1.4,0.79,64.1,Matches
43,Ross Barkley,eng ENG,MF,Aston Villa,31-078,1993,6.2,0.48,0,0,1.29,0.48,0,0.16,1.45,0.48,0,0,0,6.45,0.97,0.65,60,Matches
44,Harvey Barnes,eng ENG,FW,Newcastle Utd,27-074,1997,8.7,0,0,0,0.92,1.26,0.23,2.64,0.46,0.69,0,0,0,3.33,0.34,0.92,27.3,Matches
45,Calvin Bassey,ng NGA,DF,Fulham,25-052,1999,24,0.21,0,0,0.63,1,0.08,0.17,0.58,0.88,0,0,0,4.79,1.21,1.08,52.7,Matches
46,Jan Bednarek,pl POL,DF,Southampton,28-315,1996,20.8,0.24,0,0,1.3,0.43,0,0,2.31,0.67,0,0,0,4.23,2.79,1.49,65.2,Matches
47,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-239,1998,11,0.27,0,0,1.82,2.27,0.09,1.73,0.91,0.91,0,0,0,3.09,0.36,1.18,23.5,Matches
48,Rodrigo Bentancur,uy URU,MF,Tottenham,27-241,1997,10.5,0.48,0,0,1.9,0.38,0,0.19,2.19,1.24,0,0,0,7.14,2.1,1.43,59.5,Matches
49,Sander Berge,no NOR,MF,Fulham,27-007,1998,14.6,0.14,0,0,1.16,0.27,0,0.07,1.23,1.58,0,0,0,5.48,1.37,0.68,66.7,Matches
50,Lucas Bergvall,se SWE,MF,Tottenham,19-019,2006,7.4,0.41,0,0,1.76,1.49,0,1.62,1.89,1.89,0,0,0,6.49,0.81,0.95,46.2,Matches
51,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,22-067,2002,21.5,0.05,0,0,0.7,0.65,0.09,3.44,1.4,1.86,0,0,0.05,3.77,0.79,1.67,32.1,Matches
52,Beto,gw GNB,FW,Everton,27-021,1998,6.5,0.15,0,0,2.46,1.69,1.23,0.31,0.15,0.46,0,0,0,2.77,6.31,6.92,47.7,Matches
53,Philip Billing,dk DEN,MF,Bournemouth,28-255,1996,2,0.5,0,0,1.5,1,0,5,2.5,2.5,0,0,0,7,3,2,60,Matches
54,Yves Bissouma,ml MLI,MF,Tottenham,28-175,1996,11.7,0.43,0,0,1.45,1.2,0,0.17,1.11,1.97,0,0.09,0,5.38,0.34,0.51,40,Matches
55,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,21-047,2004,3.9,0.51,0,0,1.79,2.31,0,0,0.26,1.54,0,0,0,2.82,0.77,1.28,37.5,Matches
56,Willy Boly,ci CIV,DF,Nott'ham Forest,34-018,1991,1.5,0.67,0,0,0.67,0,0,0,2,0.67,0,0,0,2.67,3.33,1.33,71.4,Matches
57,Sven Botman,nl NED,DF,Newcastle Utd,25-040,2000,2.5,0.4,0,0,1.6,0.8,0,0,1.6,1.2,0,0,0,3.2,3.6,2,64.3,Matches
58,Jarrod Bowen,eng ENG,"FW,MF",West Ham,28-063,1996,20.4,0.05,0,0,0.78,1.37,0.29,4.12,0.64,0.93,0,0,0,4.75,0.34,1.27,21.2,Matches
59,Conor Bradley,nir NIR,DF,Liverpool,21-227,2003,4.1,0.49,0,0,1.71,1.22,0,0.98,0.73,0.73,0,0,0,5.61,1.22,0.49,71.4,Matches
60,Jarrad Branthwaite,eng ENG,DF,Everton,22-239,2002,16.1,0.19,0,0,0.31,0.62,0.06,0.06,1.18,0.87,0,0,0,3.04,1.55,1.74,47.2,Matches
61,James Bree,eng ENG,DF,Southampton,27-133,1997,8.4,0,0,0,0.24,0.48,0,2.38,0.83,1.19,0,0,0,5.24,1.43,0.48,75,Matches
62,Ben Brereton,cl CHI,FW,Southampton,25-309,1999,5,0.2,0,0,0.8,1.6,0.2,1,0,0.4,0,0,0,3.2,1.8,1.4,56.3,Matches
63,Nathan Broadhead,wls WAL,"FW,MF",Ipswich Town,26-322,1998,4.2,0.24,0,0,0.48,1.9,0.24,1.43,0.71,0.48,0,0,0,4.76,0,1.67,0,Matches
64,Armando Broja,al ALB,FW,Everton,23-164,2001,1.8,0.56,0,0,2.22,1.11,1.11,0.56,0,0.56,0,0,0,2.78,5,3.89,56.3,Matches
65,David Brooks,wls WAL,FW,Bournemouth,27-228,1997,7.1,0.42,0,0,0.85,1.69,0,4.79,0.56,0.42,0,0,0,5.21,0.7,1.13,38.5,Matches
66,Emi Buendia,ar ARG,"MF,FW",Aston Villa,28-058,1996,1.1,0.91,0,0,3.64,5.45,0,0,0,5.45,0,0,0,7.27,0,1.82,0,Matches
67,Santiago Bueno,uy URU,DF,Wolves,26-104,1998,15.2,0,0,0,1.38,0.2,0,0,0.86,0.92,0,0,0,2.3,2.11,1.71,55.2,Matches
68,Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,20-060,2004,12.8,0.47,0,0,2.03,2.03,0.23,2.5,0.63,1.8,0,0,0,5.16,0.63,1.88,25,Matches
69,Cameron Burgess,au AUS,DF,Ipswich Town,29-123,1995,10,0,0,0,0.2,0.2,0,0,0.9,0.7,0,0,0,3,3.1,1.4,68.9,Matches
70,Dan Burn,eng ENG,DF,Newcastle Utd,32-288,1992,24,0.29,0,0,0.79,0.38,0.17,0.08,0.67,0.63,0,0,0.04,2.63,3.58,2.13,62.8,Matches
71,Wes Burns,wls WAL,"FW,DF",Ipswich Town,30-090,1994,10.3,0.1,0,0,0.39,1.07,0,4.47,0.97,1.07,0,0,0,4.85,0.78,2.04,27.6,Matches
72,Moises Caicedo,ec ECU,MF,Chelsea,23-111,2001,24.3,0.29,0,0,2.14,1.44,0,0.33,1.4,1.89,0.04,0.04,0,6.01,0.99,0.41,70.6,Matches
73,Tom Cairney,sct SCO,MF,Fulham,34-032,1991,4.4,0.45,0.23,0,1.36,3.18,0,2.73,0.91,0.45,0,0,0,7.73,0.68,1.36,33.3,Matches
74,Jens Cajuste,se SWE,MF,Ipswich Town,25-195,1999,12.5,0.16,0,0,1.04,1.12,0,0.48,1.36,0.88,0,0,0,4.72,0.4,0.72,35.7,Matches
75,Riccardo Calafiori,it ITA,DF,Arsenal,22-278,2002,8.5,0.35,0,0,1.65,0.71,0.24,1.06,1.06,2.12,0,0,0,3.41,2.24,1.18,65.5,Matches
76,Dominic Calvert-Lewin,eng ENG,FW,Everton,27-342,1997,17.5,0.11,0,0,1.54,1.26,1.54,0.34,0.34,0.4,0,0,0,1.83,4.74,4.51,51.2,Matches
77,Diego Carlos,br BRA,DF,Aston Villa,31-343,1993,9.2,0.11,0,0,1.2,0.11,0.11,0,0.54,0.33,0,0,0,3.91,1.2,1.09,52.4,Matches
78,Fabio Carvalho,pt POR,"FW,MF",Brentford,22-175,2002,4.8,0.21,0,0,1.04,2.08,0.21,2.08,0.63,1.88,0,0,0,6.04,0.42,1.25,25,Matches
79,Casemiro,br BRA,MF,Manchester Utd,32-364,1992,10.3,0.19,0,0,1.07,1.65,0.29,1.65,0.97,2.82,0,0,0,6.21,1.75,1.07,62.1,Matches
80,Kaelan Casey,eng ENG,DF,West Ham,20-116,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,Matches
81,Matty Cash,pl POL,DF,Aston Villa,27-198,1997,14.2,0.35,0,0,1.41,0.7,0.07,1.41,1.27,1.55,0,0.14,0,3.17,0.99,0.85,53.8,Matches
